product,timestamp,bid_prices,bid_volumes,ask_prices,ask_volumes,best_bid,best_bid_volume,best_ask,best_ask_volume,total_ask_volume,total_bid_volume,total_volume,mid_price,weighted_mid_price,max_sell_position,max_buy_position,current_position,observation_plain_value,observation_bidPrice,observation_askPrice,observation_transportFees,observation_exportTariff,observation_importTariff,observation_sugarPrice,observation_sunlightIndex,fair_price,mid_price_sma_5,mid_price_sma_10,mid_price_sma_20,mid_price_sma_40,sma5x20_signal,sma10x40_signal
KELP,0.0,"[2032.0, nan, nan, nan]","[23.0, nan, nan, nan]","[2035.0, nan, nan, nan]","[-23.0, nan, nan, nan]",2032.0,23.0,2035.0,-23.0,-23.0,23.0,46.0,2033.5,2033.5,-50.0,50.0,0.0,,,,,,,,,2033.5,,,,,0,0
RAINFOREST_RESIN,0.0,"[9998.0, 9995.0, nan, nan]","[9.0, 23.0, nan, nan]","[10005.0, nan, nan, nan]","[-23.0, nan, nan, nan]",9998.0,9.0,10005.0,-23.0,-23.0,32.0,55.0,10001.5,9999.672727272728,-50.0,50.0,0.0,,,,,,,,,10001.5,,,,,0,0
SQUID_INK,0.0,"[1834.0, nan, nan, nan]","[23.0, nan, nan, nan]","[1838.0, nan, nan, nan]","[-23.0, nan, nan, nan]",1834.0,23.0,1838.0,-23.0,-23.0,23.0,46.0,1836.0,1836.0,-50.0,50.0,0.0,,,,,,,,,1836.0,,,,,0,0
KELP,100.0,"[2034.0, 2033.0, 2032.0, nan]","[1.0, 2.0, 22.0, nan]","[2035.0, nan, nan, nan]","[-22.0, nan, nan, nan]",2034.0,1.0,2035.0,-22.0,-22.0,25.0,47.0,2034.5,2033.489361702128,-50.0,50.0,0.0,,,,,,,,,2034.0,,,,,0,0
RAINFOREST_RESIN,100.0,"[10002.0, 10000.0, 9998.0, 9996.0]","[1.0, 2.0, 4.0, 1.0]","[10004.0, 10005.0, nan, nan]","[-1.0, -21.0, nan, nan]",10002.0,1.0,10004.0,-1.0,-22.0,8.0,30.0,10003.0,10003.3,-50.0,50.0,0.0,,,,,,,,,10002.25,,,,,0,0
SQUID_INK,100.0,"[1837.0, 1836.0, 1835.0, nan]","[1.0, 2.0, 22.0, nan]","[1839.0, nan, nan, nan]","[-22.0, nan, nan, nan]",1837.0,1.0,1839.0,-22.0,-22.0,25.0,47.0,1838.0,1836.957446808511,-50.0,50.0,0.0,,,,,,,,,1837.0,,,,,0,0
KELP,200.0,"[2032.0, nan, nan, nan]","[22.0, nan, nan, nan]","[2035.0, nan, nan, nan]","[-22.0, nan, nan, nan]",2032.0,22.0,2035.0,-22.0,-22.0,22.0,44.0,2033.5,2033.5,-50.0,50.0,0.0,,,,,,,,,2033.8333333333333,,,,,0,0
RAINFOREST_RESIN,200.0,"[9996.0, 9995.0, nan, nan]","[1.0, 21.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-1.0, -21.0, nan, nan]",9996.0,1.0,10004.0,-1.0,-22.0,22.0,44.0,10000.0,10000.0,-50.0,50.0,0.0,,,,,,,,,10001.5,,,,,0,0
SQUID_INK,200.0,"[1832.0, nan, nan, nan]","[22.0, nan, nan, nan]","[1835.0, nan, nan, nan]","[-22.0, nan, nan, nan]",1832.0,22.0,1835.0,-22.0,-22.0,22.0,44.0,1833.5,1833.5,-50.0,50.0,0.0,,,,,,,,,1835.8333333333333,,,,,0,0
KELP,300.0,"[2034.0, 2032.0, nan, nan]","[1.0, 26.0, nan, nan]","[2035.0, nan, nan, nan]","[-26.0, nan, nan, nan]",2034.0,1.0,2035.0,-26.0,-26.0,27.0,53.0,2034.5,2033.509433962264,-50.0,50.0,0.0,,,,,,,,,2034.0,,,,,0,0
RAINFOREST_RESIN,300.0,"[9995.0, nan, nan, nan]","[26.0, nan, nan, nan]","[10005.0, nan, nan, nan]","[-26.0, nan, nan, nan]",9995.0,26.0,10005.0,-26.0,-26.0,26.0,52.0,10000.0,10000.0,-50.0,50.0,0.0,,,,,,,,,10001.125,,,,,0,0
SQUID_INK,300.0,"[1836.0, 1834.0, nan, nan]","[1.0, 26.0, nan, nan]","[1837.0, nan, nan, nan]","[-26.0, nan, nan, nan]",1836.0,1.0,1837.0,-26.0,-26.0,27.0,53.0,1836.5,1835.509433962264,-50.0,50.0,22.0,,,,,,,,,1836.0,,,,,0,0
KELP,400.0,"[2032.0, nan, nan, nan]","[28.0, nan, nan, nan]","[2035.0, nan, nan, nan]","[-28.0, nan, nan, nan]",2032.0,28.0,2035.0,-28.0,-28.0,28.0,56.0,2033.5,2033.5,-50.0,50.0,0.0,,,,,,,,,2033.9,2033.9,,,,0,0
RAINFOREST_RESIN,400.0,"[9998.0, 9996.0, 9995.0, nan]","[8.0, 2.0, 26.0, nan]","[10004.0, 10005.0, nan, nan]","[-2.0, -26.0, nan, nan]",9998.0,8.0,10004.0,-2.0,-28.0,36.0,64.0,10001.0,9999.75,-50.0,50.0,0.0,,,,,,,,,10001.1,10001.1,,,,0,0
SQUID_INK,400.0,"[1833.0, nan, nan, nan]","[28.0, nan, nan, nan]","[1836.0, nan, nan, nan]","[-28.0, nan, nan, nan]",1833.0,28.0,1836.0,-28.0,-28.0,28.0,56.0,1834.5,1834.5,-50.0,50.0,22.0,,,,,,,,,1835.7,1835.7,,,,0,0
