product,timestamp,bid_prices,bid_volumes,ask_prices,ask_volumes,best_bid,best_bid_volume,best_ask,best_ask_volume,total_ask_volume,total_bid_volume,total_volume,mid_price,weighted_mid_price,max_sell_position,max_buy_position,current_position,observation_plain_value,observation_bidPrice,observation_askPrice,observation_transportFees,observation_exportTariff,observation_importTariff,observation_sugarPrice,observation_sunlightIndex,fair_price
KELP,0.0,"[2032.0, nan, nan, nan]","[23.0, nan, nan, nan]","[2035.0, nan, nan, nan]","[-23.0, nan, nan, nan]",2032.0,23.0,2035.0,-23.0,-23.0,23.0,46.0,2033.5,2033.5,-50.0,50.0,0.0,,,,,,,,,2033.5
RAINFOREST_RESIN,0.0,"[9998.0, 9995.0, nan, nan]","[9.0, 23.0, nan, nan]","[10005.0, nan, nan, nan]","[-23.0, nan, nan, nan]",9998.0,9.0,10005.0,-23.0,-23.0,32.0,55.0,10001.5,9999.672727272728,-50.0,50.0,0.0,,,,,,,,,9999.672727272728
SQUID_INK,0.0,"[1834.0, nan, nan, nan]","[23.0, nan, nan, nan]","[1838.0, nan, nan, nan]","[-23.0, nan, nan, nan]",1834.0,23.0,1838.0,-23.0,-23.0,23.0,46.0,1836.0,1836.0,-50.0,50.0,0.0,,,,,,,,,1836.0
KELP,100.0,"[2034.0, 2033.0, 2032.0, nan]","[1.0, 2.0, 22.0, nan]","[2035.0, nan, nan, nan]","[-22.0, nan, nan, nan]",2034.0,1.0,2035.0,-22.0,-22.0,25.0,47.0,2034.5,2033.4893617021276,-50.0,50.0,0.0,,,,,,,,,2033.4946808510638
RAINFOREST_RESIN,100.0,"[10002.0, 10000.0, 9998.0, 9996.0]","[1.0, 2.0, 4.0, 1.0]","[10004.0, 10005.0, nan, nan]","[-1.0, -21.0, nan, nan]",10002.0,1.0,10004.0,-1.0,-22.0,8.0,30.0,10003.0,10003.3,-50.0,50.0,0.0,,,,,,,,,10001.486363636363
SQUID_INK,100.0,"[1837.0, 1836.0, 1835.0, nan]","[1.0, 2.0, 22.0, nan]","[1839.0, nan, nan, nan]","[-22.0, nan, nan, nan]",1837.0,1.0,1839.0,-22.0,-22.0,25.0,47.0,1838.0,1836.9574468085107,-50.0,50.0,0.0,,,,,,,,,1836.4787234042553
KELP,200.0,"[2032.0, nan, nan, nan]","[22.0, nan, nan, nan]","[2035.0, nan, nan, nan]","[-22.0, nan, nan, nan]",2032.0,22.0,2035.0,-22.0,-22.0,22.0,44.0,2033.5,2033.5,-50.0,50.0,-1.0,,,,,,,,,2033.4964539007094
RAINFOREST_RESIN,200.0,"[9996.0, 9995.0, nan, nan]","[1.0, 21.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-1.0, -21.0, nan, nan]",9996.0,1.0,10004.0,-1.0,-22.0,22.0,44.0,10000.0,10000.0,-50.0,50.0,-1.0,,,,,,,,,10000.990909090908
SQUID_INK,200.0,"[1832.0, nan, nan, nan]","[22.0, nan, nan, nan]","[1835.0, nan, nan, nan]","[-22.0, nan, nan, nan]",1832.0,22.0,1835.0,-22.0,-22.0,22.0,44.0,1833.5,1833.5,-50.0,50.0,-1.0,,,,,,,,,1835.4858156028367
KELP,300.0,"[2034.0, 2032.0, nan, nan]","[1.0, 26.0, nan, nan]","[2035.0, nan, nan, nan]","[-26.0, nan, nan, nan]",2034.0,1.0,2035.0,-26.0,-26.0,27.0,53.0,2034.5,2033.5094339622642,-50.0,50.0,-1.0,,,,,,,,,2033.4996989160982
RAINFOREST_RESIN,300.0,"[9995.0, nan, nan, nan]","[26.0, nan, nan, nan]","[10005.0, nan, nan, nan]","[-26.0, nan, nan, nan]",9995.0,26.0,10005.0,-26.0,-26.0,26.0,52.0,10000.0,10000.0,-50.0,50.0,-1.0,,,,,,,,,10000.743181818181
SQUID_INK,300.0,"[1836.0, 1834.0, nan, nan]","[1.0, 26.0, nan, nan]","[1837.0, nan, nan, nan]","[-26.0, nan, nan, nan]",1836.0,1.0,1837.0,-26.0,-26.0,27.0,53.0,1836.5,1835.5094339622642,-50.0,50.0,21.0,,,,,,,,,1835.4917201926937
KELP,400.0,"[2032.0, nan, nan, nan]","[28.0, nan, nan, nan]","[2035.0, nan, nan, nan]","[-28.0, nan, nan, nan]",2032.0,28.0,2035.0,-28.0,-28.0,28.0,56.0,2033.5,2033.5,-50.0,50.0,-2.0,,,,,,,,,2033.4997591328786
RAINFOREST_RESIN,400.0,"[9998.0, 9996.0, 9995.0, nan]","[8.0, 2.0, 26.0, nan]","[10004.0, 10005.0, nan, nan]","[-2.0, -26.0, nan, nan]",9998.0,8.0,10004.0,-2.0,-28.0,36.0,64.0,10001.0,9999.75,-50.0,50.0,-1.0,,,,,,,,,10000.544545454544
SQUID_INK,400.0,"[1833.0, nan, nan, nan]","[28.0, nan, nan, nan]","[1836.0, nan, nan, nan]","[-28.0, nan, nan, nan]",1833.0,28.0,1836.0,-28.0,-28.0,28.0,56.0,1834.5,1834.5,-50.0,50.0,20.0,,,,,,,,,1835.2933761541549
KELP,500.0,"[2032.0, nan, nan, nan]","[24.0, nan, nan, nan]","[2034.0, 2035.0, nan, nan]","[-3.0, -24.0, nan, nan]",2032.0,24.0,2034.0,-3.0,-27.0,24.0,51.0,2033.0,2033.5294117647059,-50.0,50.0,-2.0,,,,,,,,,2033.504701238183
RAINFOREST_RESIN,500.0,"[9998.0, 9996.0, 9995.0, nan]","[8.0, 1.0, 23.0, nan]","[10004.0, 10005.0, nan, nan]","[-1.0, -23.0, nan, nan]",9998.0,8.0,10004.0,-1.0,-24.0,32.0,56.0,10001.0,9999.714285714286,-50.0,50.0,-1.0,,,,,,,,,10000.406168831169
SQUID_INK,500.0,"[1834.0, nan, nan, nan]","[24.0, nan, nan, nan]","[1836.0, 1837.0, nan, nan]","[-3.0, -24.0, nan, nan]",1834.0,24.0,1836.0,-3.0,-27.0,24.0,51.0,1835.0,1835.5294117647059,-50.0,50.0,20.0,,,,,,,,,1835.3327154225801
KELP,600.0,"[2033.0, 2032.0, nan, nan]","[5.0, 30.0, nan, nan]","[2035.0, nan, nan, nan]","[-30.0, nan, nan, nan]",2033.0,5.0,2035.0,-30.0,-30.0,35.0,65.0,2034.0,2033.4615384615386,-50.0,50.0,-2.0,,,,,,,,,2033.498535127234
RAINFOREST_RESIN,600.0,"[9996.0, 9995.0, nan, nan]","[2.0, 28.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-2.0, -28.0, nan, nan]",9996.0,2.0,10004.0,-2.0,-30.0,30.0,60.0,10000.0,10000.0,-50.0,50.0,-1.0,,,,,,,,,10000.34814471243
SQUID_INK,600.0,"[1834.0, 1832.0, nan, nan]","[5.0, 30.0, nan, nan]","[1835.0, nan, nan, nan]","[-30.0, nan, nan, nan]",1834.0,5.0,1835.0,-30.0,-30.0,35.0,65.0,1834.5,1833.5384615384614,-50.0,50.0,20.0,,,,,,,,,1835.0763934391346
KELP,700.0,"[2032.0, nan, nan, nan]","[22.0, nan, nan, nan]","[2035.0, nan, nan, nan]","[-23.0, nan, nan, nan]",2032.0,22.0,2035.0,-23.0,-23.0,22.0,45.0,2033.5,2033.5333333333333,-50.0,50.0,-2.0,,,,,,,,,2033.5028849029964
RAINFOREST_RESIN,700.0,"[9996.0, 9995.0, nan, nan]","[1.0, 22.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-1.0, -22.0, nan, nan]",9996.0,1.0,10004.0,-1.0,-23.0,23.0,46.0,10000.0,10000.0,-50.0,50.0,-1.0,,,,,,,,,10000.304626623376
SQUID_INK,700.0,"[1834.0, nan, nan, nan]","[22.0, nan, nan, nan]","[1837.0, 1838.0, nan, nan]","[-1.0, -22.0, nan, nan]",1834.0,22.0,1837.0,-1.0,-23.0,22.0,45.0,1835.5,1836.0222222222221,-50.0,50.0,50.0,,,,,,,,,1835.1946220370205
KELP,800.0,"[2032.0, nan, nan, nan]","[25.0, nan, nan, nan]","[2033.0, 2035.0, nan, nan]","[-3.0, -25.0, nan, nan]",2032.0,25.0,2033.0,-3.0,-28.0,25.0,53.0,2032.5,2033.4716981132076,-50.0,50.0,-2.0,,,,,,,,,2033.499419704131
RAINFOREST_RESIN,800.0,"[9996.0, 9995.0, nan, nan]","[1.0, 24.0, nan, nan]","[10000.0, 10004.0, 10005.0, nan]","[-3.0, -1.0, -24.0, nan]",9996.0,1.0,10000.0,-3.0,-28.0,25.0,53.0,9998.0,10000.0,-50.0,50.0,-1.0,,,,,,,,,10000.270779220778
SQUID_INK,800.0,"[1836.0, nan, nan, nan]","[25.0, nan, nan, nan]","[1837.0, 1839.0, nan, nan]","[-3.0, -25.0, nan, nan]",1836.0,25.0,1837.0,-3.0,-28.0,25.0,53.0,1836.5,1837.4716981132076,-50.0,50.0,50.0,,,,,,,,,1835.4476304899301
KELP,900.0,"[2031.0, nan, nan, nan]","[21.0, nan, nan, nan]","[2035.0, nan, nan, nan]","[-21.0, nan, nan, nan]",2031.0,21.0,2035.0,-21.0,-21.0,21.0,42.0,2033.0,2033.0,-50.0,50.0,1.0,,,,,,,,,2033.449477733718
RAINFOREST_RESIN,900.0,"[9996.0, 9995.0, nan, nan]","[1.0, 20.0, nan, nan]","[9998.0, 10004.0, 10005.0, nan]","[-11.0, -1.0, -20.0, nan]",9996.0,1.0,9998.0,-11.0,-32.0,21.0,53.0,9997.0,9999.584905660377,-50.0,50.0,2.0,,,,,,,,,10000.202191864739
SQUID_INK,900.0,"[1840.0, nan, nan, nan]","[21.0, nan, nan, nan]","[1843.0, nan, nan, nan]","[-21.0, nan, nan, nan]",1840.0,21.0,1843.0,-21.0,-21.0,21.0,42.0,1841.5,1841.5,-50.0,50.0,25.0,,,,,,,,,1836.0528674409372
KELP,1000.0,"[2032.0, nan, nan, nan]","[31.0, nan, nan, nan]","[2035.0, nan, nan, nan]","[-31.0, nan, nan, nan]",2032.0,31.0,2035.0,-31.0,-31.0,31.0,62.0,2033.5,2033.5,-50.0,50.0,1.0,,,,,,,,,2033.4540706670161
RAINFOREST_RESIN,1000.0,"[9996.0, 9995.0, nan, nan]","[1.0, 30.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-1.0, -30.0, nan, nan]",9996.0,1.0,10004.0,-1.0,-31.0,31.0,62.0,10000.0,10000.0,-50.0,50.0,13.0,,,,,,,,,10000.183810786126
SQUID_INK,1000.0,"[1841.0, nan, nan, nan]","[31.0, nan, nan, nan]","[1844.0, nan, nan, nan]","[-31.0, nan, nan, nan]",1841.0,31.0,1844.0,-31.0,-31.0,31.0,62.0,1842.5,1842.5,-50.0,50.0,4.0,,,,,,,,,1836.638970400852
KELP,1100.0,"[2032.0, nan, nan, nan]","[22.0, nan, nan, nan]","[2035.0, nan, nan, nan]","[-22.0, nan, nan, nan]",2032.0,22.0,2035.0,-22.0,-22.0,22.0,44.0,2033.5,2033.5,-50.0,50.0,1.0,,,,,,,,,2033.4578981114316
RAINFOREST_RESIN,1100.0,"[9996.0, 9995.0, nan, nan]","[1.0, 21.0, nan, nan]","[10002.0, 10004.0, 10005.0, nan]","[-6.0, -1.0, -21.0, nan]",9996.0,1.0,10002.0,-6.0,-28.0,22.0,50.0,9999.0,10000.24,-50.0,50.0,13.0,,,,,,,,,10000.188493220616
SQUID_INK,1100.0,"[1840.0, nan, nan, nan]","[22.0, nan, nan, nan]","[1843.0, nan, nan, nan]","[-22.0, nan, nan, nan]",1840.0,22.0,1843.0,-22.0,-22.0,22.0,44.0,1841.5,1841.5,-50.0,50.0,-27.0,,,,,,,,,1837.044056200781
KELP,1200.0,"[2031.0, nan, nan, nan]","[23.0, nan, nan, nan]","[2032.0, 2035.0, nan, nan]","[-1.0, -23.0, nan, nan]",2031.0,23.0,2032.0,-1.0,-24.0,23.0,47.0,2031.5,2032.9787234042553,-50.0,50.0,1.0,,,,,,,,,2033.421038518572
RAINFOREST_RESIN,1200.0,"[9996.0, 9995.0, nan, nan]","[1.0, 22.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-1.0, -22.0, nan, nan]",9996.0,1.0,10004.0,-1.0,-23.0,23.0,46.0,10000.0,10000.0,-50.0,50.0,13.0,,,,,,,,,10000.173993742106
