product,timestamp,bid_prices,bid_volumes,ask_prices,ask_volumes,best_bid,best_bid_volume,best_ask,best_ask_volume,total_ask_volume,total_bid_volume,total_volume,mid_price,weighted_mid_price,max_sell_position,max_buy_position,current_position,observation_plain_value,observation_bidPrice,observation_askPrice,observation_transportFees,observation_exportTariff,observation_importTariff,observation_sugarPrice,observation_sunlightIndex,order_quantity,order_price,order_revenue,fair_price,sma_16,sma_27,sma_cross16_27_signal,sma_cross16_27_mom28_0.0045_signal
KELP,0.0,"[2028.0, nan, nan, nan]","[23.0, nan, nan, nan]","[2032.0, nan, nan, nan]","[-23.0, nan, nan, nan]",2028.0,23.0,2032.0,-23.0,-23.0,23.0,46.0,2030.0,2030.0,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,2030.0,,,,
RAINFOREST_RESIN,0.0,"[9998.0, 9995.0, nan, nan]","[9.0, 23.0, nan, nan]","[10005.0, nan, nan, nan]","[-23.0, nan, nan, nan]",9998.0,9.0,10005.0,-23.0,-23.0,32.0,55.0,10001.5,9999.672727272728,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,10001.5,,,,
SQUID_INK,0.0,"[1968.0, nan, nan, nan]","[23.0, nan, nan, nan]","[1971.0, nan, nan, nan]","[-23.0, nan, nan, nan]",1968.0,23.0,1971.0,-23.0,-23.0,23.0,46.0,1969.5,1969.5,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1969.5,1969.5,0.0,0.0
KELP,100.0,"[2031.0, 2030.0, 2028.0, nan]","[1.0, 2.0, 22.0, nan]","[2032.0, nan, nan, nan]","[-22.0, nan, nan, nan]",2031.0,1.0,2032.0,-22.0,-22.0,25.0,47.0,2031.5,2030.0212765957447,-50.0,50.0,0.0,,,,,,,,,-1.0,2031.0,-2031.0,2030.75,,,,
RAINFOREST_RESIN,100.0,"[10002.0, 10000.0, 9998.0, 9996.0]","[1.0, 2.0, 4.0, 1.0]","[10004.0, 10005.0, nan, nan]","[-1.0, -21.0, nan, nan]",10002.0,1.0,10004.0,-1.0,-22.0,8.0,30.0,10003.0,10003.3,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,10002.25,,,,
SQUID_INK,100.0,"[1970.0, 1969.0, 1967.0, nan]","[1.0, 2.0, 22.0, nan]","[1971.0, nan, nan, nan]","[-22.0, nan, nan, nan]",1970.0,1.0,1971.0,-22.0,-22.0,25.0,47.0,1970.5,1969.0212765957447,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1970.0,1970.0,0.0,0.0
KELP,200.0,"[2029.0, 2028.0, nan, nan]","[1.0, 21.0, nan, nan]","[2032.0, nan, nan, nan]","[-22.0, nan, nan, nan]",2029.0,1.0,2032.0,-22.0,-22.0,22.0,44.0,2030.5,2030.0227272727273,-50.0,50.0,-1.0,,,,,,,,,0.0,0.0,0.0,2030.6666666666667,,,,
RAINFOREST_RESIN,200.0,"[9996.0, 9995.0, nan, nan]","[1.0, 21.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-1.0, -21.0, nan, nan]",9996.0,1.0,10004.0,-1.0,-22.0,22.0,44.0,10000.0,10000.0,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,10001.5,,,,
SQUID_INK,200.0,"[1966.0, 1965.0, nan, nan]","[1.0, 21.0, nan, nan]","[1969.0, nan, nan, nan]","[-22.0, nan, nan, nan]",1966.0,1.0,1969.0,-22.0,-22.0,22.0,44.0,1967.5,1967.0227272727273,-50.0,50.0,0.0,,,,,,,,,0.0,0.0,0.0,,1969.1666666666667,1969.1666666666667,0.0,0.0
KELP,300.0,"[2031.0, 2029.0, nan, nan]","[1.0, 26.0, nan, nan]","[2032.0, nan, nan, nan]","[-26.0, nan, nan, nan]",2031.0,1.0,2032.0,-26.0,-26.0,27.0,53.0,2031.5,2030.5094339622642,-50.0,50.0,-1.0,,,,,,,,,-1.0,2031.0,-2031.0,2030.875,,,,
