sandboxLog,lambdaLog,timestamp
,"{""KELP"": {""timestamp"": 0.0, ""bid_prices"": [2028.0, NaN, NaN, NaN], ""bid_volumes"": [23.0, NaN, NaN, NaN], ""ask_prices"": [2032.0, NaN, NaN, NaN], ""ask_volumes"": [-23.0, NaN, NaN, NaN], ""best_bid"": 2028.0, ""best_bid_volume"": 23.0, ""best_ask"": 2032.0, ""best_ask_volume"": -23.0, ""total_ask_volume"": -23.0, ""total_bid_volume"": 23.0, ""total_volume"": 46.0, ""mid_price"": 2030.0, ""weighted_mid_price"": 2030.0, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 2030.0}, ""RAINFOREST_RESIN"": {""timestamp"": 0.0, ""bid_prices"": [9998.0, 9995.0, NaN, NaN], ""bid_volumes"": [9.0, 23.0, NaN, NaN], ""ask_prices"": [10005.0, NaN, NaN, NaN], ""ask_volumes"": [-23.0, NaN, NaN, NaN], ""best_bid"": 9998.0, ""best_bid_volume"": 9.0, ""best_ask"": 10005.0, ""best_ask_volume"": -23.0, ""total_ask_volume"": -23.0, ""total_bid_volume"": 32.0, ""total_volume"": 55.0, ""mid_price"": 10001.5, ""weighted_mid_price"": 9999.672727272728, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 10001.5}, ""SQUID_INK"": {""timestamp"": 0.0, ""bid_prices"": [1968.0, NaN, NaN, NaN], ""bid_volumes"": [23.0, NaN, NaN, NaN], ""ask_prices"": [1971.0, NaN, NaN, NaN], ""ask_volumes"": [-23.0, NaN, NaN, NaN], ""best_bid"": 1968.0, ""best_bid_volume"": 23.0, ""best_ask"": 1971.0, ""best_ask_volume"": -23.0, ""total_ask_volume"": -23.0, ""total_bid_volume"": 23.0, ""total_volume"": 46.0, ""mid_price"": 1969.5, ""weighted_mid_price"": 1969.5, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 1969.5}}",0
,"{""KELP"": {""timestamp"": 100.0, ""bid_prices"": [2031.0, 2030.0, 2028.0, NaN], ""bid_volumes"": [1.0, 2.0, 22.0, NaN], ""ask_prices"": [2032.0, NaN, NaN, NaN], ""ask_volumes"": [-22.0, NaN, NaN, NaN], ""best_bid"": 2031.0, ""best_bid_volume"": 1.0, ""best_ask"": 2032.0, ""best_ask_volume"": -22.0, ""total_ask_volume"": -22.0, ""total_bid_volume"": 25.0, ""total_volume"": 47.0, ""mid_price"": 2031.5, ""weighted_mid_price"": 2030.0212765957447, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 2030.75}, ""RAINFOREST_RESIN"": {""timestamp"": 100.0, ""bid_prices"": [10002.0, 10000.0, 9998.0, 9996.0], ""bid_volumes"": [1.0, 2.0, 4.0, 1.0], ""ask_prices"": [10004.0, 10005.0, NaN, NaN], ""ask_volumes"": [-1.0, -21.0, NaN, NaN], ""best_bid"": 10002.0, ""best_bid_volume"": 1.0, ""best_ask"": 10004.0, ""best_ask_volume"": -1.0, ""total_ask_volume"": -22.0, ""total_bid_volume"": 8.0, ""total_volume"": 30.0, ""mid_price"": 10003.0, ""weighted_mid_price"": 10003.3, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 10002.25}, ""SQUID_INK"": {""timestamp"": 100.0, ""bid_prices"": [1970.0, 1969.0, 1967.0, NaN], ""bid_volumes"": [1.0, 2.0, 22.0, NaN], ""ask_prices"": [1971.0, NaN, NaN, NaN], ""ask_volumes"": [-22.0, NaN, NaN, NaN], ""best_bid"": 1970.0, ""best_bid_volume"": 1.0, ""best_ask"": 1971.0, ""best_ask_volume"": -22.0, ""total_ask_volume"": -22.0, ""total_bid_volume"": 25.0, ""total_volume"": 47.0, ""mid_price"": 1970.5, ""weighted_mid_price"": 1969.0212765957447, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 1969.6324468085104}}",100
,"{""KELP"": {""timestamp"": 200.0, ""bid_prices"": [2029.0, 2028.0, NaN, NaN], ""bid_volumes"": [1.0, 21.0, NaN, NaN], ""ask_prices"": [2032.0, NaN, NaN, NaN], ""ask_volumes"": [-22.0, NaN, NaN, NaN], ""best_bid"": 2029.0, ""best_bid_volume"": 1.0, ""best_ask"": 2032.0, ""best_ask_volume"": -22.0, ""total_ask_volume"": -22.0, ""total_bid_volume"": 22.0, ""total_volume"": 44.0, ""mid_price"": 2030.5, ""weighted_mid_price"": 2030.0227272727273, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": -1.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 2030.6666666666667}, ""RAINFOREST_RESIN"": {""timestamp"": 200.0, ""bid_prices"": [9996.0, 9995.0, NaN, NaN], ""bid_volumes"": [1.0, 21.0, NaN, NaN], ""ask_prices"": [10004.0, 10005.0, NaN, NaN], ""ask_volumes"": [-1.0, -21.0, NaN, NaN], ""best_bid"": 9996.0, ""best_bid_volume"": 1.0, ""best_ask"": 10004.0, ""best_ask_volume"": -1.0, ""total_ask_volume"": -22.0, ""total_bid_volume"": 22.0, ""total_volume"": 44.0, ""mid_price"": 10000.0, ""weighted_mid_price"": 10000.0, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 10001.5}, ""SQUID_INK"": {""timestamp"": 200.0, ""bid_prices"": [1966.0, 1965.0, NaN, NaN], ""bid_volumes"": [1.0, 21.0, NaN, NaN], ""ask_prices"": [1969.0, NaN, NaN, NaN], ""ask_volumes"": [-22.0, NaN, NaN, NaN], ""best_bid"": 1966.0, ""best_bid_volume"": 1.0, ""best_ask"": 1969.0, ""best_ask_volume"": -22.0, ""total_ask_volume"": -22.0, ""total_bid_volume"": 22.0, ""total_volume"": 44.0, ""mid_price"": 1967.5, ""weighted_mid_price"": 1967.0227272727273, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 1968.2102675693102}}",200
,"{""KELP"": {""timestamp"": 300.0, ""bid_prices"": [2031.0, 2029.0, NaN, NaN], ""bid_volumes"": [1.0, 26.0, NaN, NaN], ""ask_prices"": [2032.0, NaN, NaN, NaN], ""ask_volumes"": [-26.0, NaN, NaN, NaN], ""best_bid"": 2031.0, ""best_bid_volume"": 1.0, ""best_ask"": 2032.0, ""best_ask_volume"": -26.0, ""total_ask_volume"": -26.0, ""total_bid_volume"": 27.0, ""total_volume"": 53.0, ""mid_price"": 2031.5, ""weighted_mid_price"": 2030.5094339622642, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": -1.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 2030.875}, ""RAINFOREST_RESIN"": {""timestamp"": 300.0, ""bid_prices"": [9995.0, NaN, NaN, NaN], ""bid_volumes"": [26.0, NaN, NaN, NaN], ""ask_prices"": [10005.0, NaN, NaN, NaN], ""ask_volumes"": [-26.0, NaN, NaN, NaN], ""best_bid"": 9995.0, ""best_bid_volume"": 26.0, ""best_ask"": 10005.0, ""best_ask_volume"": -26.0, ""total_ask_volume"": -26.0, ""total_bid_volume"": 26.0, ""total_volume"": 52.0, ""mid_price"": 10000.0, ""weighted_mid_price"": 10000.0, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 10001.125}, ""SQUID_INK"": {""timestamp"": 300.0, ""bid_prices"": [1967.0, 1965.0, NaN, NaN], ""bid_volumes"": [1.0, 26.0, NaN, NaN], ""ask_prices"": [1968.0, NaN, NaN, NaN], ""ask_volumes"": [-26.0, NaN, NaN, NaN], ""best_bid"": 1967.0, ""best_bid_volume"": 1.0, ""best_ask"": 1968.0, ""best_ask_volume"": -26.0, ""total_ask_volume"": -26.0, ""total_bid_volume"": 27.0, ""total_volume"": 53.0, ""mid_price"": 1967.5, ""weighted_mid_price"": 1966.5094339622642, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 1967.859351620379}}",300
,"{""KELP"": {""timestamp"": 400.0, ""bid_prices"": [2029.0, 2028.0, NaN, NaN], ""bid_volumes"": [2.0, 26.0, NaN, NaN], ""ask_prices"": [2032.0, NaN, NaN, NaN], ""ask_volumes"": [-28.0, NaN, NaN, NaN], ""best_bid"": 2029.0, ""best_bid_volume"": 2.0, ""best_ask"": 2032.0, ""best_ask_volume"": -28.0, ""total_ask_volume"": -28.0, ""total_bid_volume"": 28.0, ""total_volume"": 56.0, ""mid_price"": 2030.5, ""weighted_mid_price"": 2030.0357142857142, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": -2.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 2030.8}, ""RAINFOREST_RESIN"": {""timestamp"": 400.0, ""bid_prices"": [9998.0, 9996.0, 9995.0, NaN], ""bid_volumes"": [8.0, 2.0, 26.0, NaN], ""ask_prices"": [10004.0, 10005.0, NaN, NaN], ""ask_volumes"": [-2.0, -26.0, NaN, NaN], ""best_bid"": 9998.0, ""best_bid_volume"": 8.0, ""best_ask"": 10004.0, ""best_ask_volume"": -2.0, ""total_ask_volume"": -28.0, ""total_bid_volume"": 36.0, ""total_volume"": 64.0, ""mid_price"": 10001.0, ""weighted_mid_price"": 9999.75, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 10001.1}, ""SQUID_INK"": {""timestamp"": 400.0, ""bid_prices"": [1966.0, NaN, NaN, NaN], ""bid_volumes"": [28.0, NaN, NaN, NaN], ""ask_prices"": [1969.0, NaN, NaN, NaN], ""ask_volumes"": [-28.0, NaN, NaN, NaN], ""best_bid"": 1966.0, ""best_bid_volume"": 28.0, ""best_ask"": 1969.0, ""best_ask_volume"": -28.0, ""total_ask_volume"": -28.0, ""total_bid_volume"": 28.0, ""total_volume"": 56.0, ""mid_price"": 1967.5, ""weighted_mid_price"": 1967.5, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 1967.787481296303}}",400
,"{""KELP"": {""timestamp"": 500.0, ""bid_prices"": [2028.0, NaN, NaN, NaN], ""bid_volumes"": [24.0, NaN, NaN, NaN], ""ask_prices"": [2030.0, 2031.0, NaN, NaN], ""ask_volumes"": [-3.0, -24.0, NaN, NaN], ""best_bid"": 2028.0, ""best_bid_volume"": 24.0, ""best_ask"": 2030.0, ""best_ask_volume"": -3.0, ""total_ask_volume"": -27.0, ""total_bid_volume"": 24.0, ""total_volume"": 51.0, ""mid_price"": 2029.0, ""weighted_mid_price"": 2029.5294117647059, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": -2.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 2030.5}, ""RAINFOREST_RESIN"": {""timestamp"": 500.0, ""bid_prices"": [9998.0, 9996.0, 9995.0, NaN], ""bid_volumes"": [8.0, 1.0, 23.0, NaN], ""ask_prices"": [10004.0, 10005.0, NaN, NaN], ""ask_volumes"": [-1.0, -23.0, NaN, NaN], ""best_bid"": 9998.0, ""best_bid_volume"": 8.0, ""best_ask"": 10004.0, ""best_ask_volume"": -1.0, ""total_ask_volume"": -24.0, ""total_bid_volume"": 32.0, ""total_volume"": 56.0, ""mid_price"": 10001.0, ""weighted_mid_price"": 9999.714285714286, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 10001.083333333334}, ""SQUID_INK"": {""timestamp"": 500.0, ""bid_prices"": [1966.0, NaN, NaN, NaN], ""bid_volumes"": [24.0, NaN, NaN, NaN], ""ask_prices"": [1968.0, 1970.0, NaN, NaN], ""ask_volumes"": [-3.0, -24.0, NaN, NaN], ""best_bid"": 1966.0, ""best_bid_volume"": 24.0, ""best_ask"": 1968.0, ""best_ask_volume"": -3.0, ""total_ask_volume"": -27.0, ""total_bid_volume"": 24.0, ""total_volume"": 51.0, ""mid_price"": 1967.0, ""weighted_mid_price"": 1968.0, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 1967.6479010802527}}",500
,"{""KELP"": {""timestamp"": 600.0, ""bid_prices"": [2030.0, 2028.0, NaN, NaN], ""bid_volumes"": [5.0, 30.0, NaN, NaN], ""ask_prices"": [2031.0, NaN, NaN, NaN], ""ask_volumes"": [-30.0, NaN, NaN, NaN], ""best_bid"": 2030.0, ""best_bid_volume"": 5.0, ""best_ask"": 2031.0, ""best_ask_volume"": -30.0, ""total_ask_volume"": -30.0, ""total_bid_volume"": 35.0, ""total_volume"": 65.0, ""mid_price"": 2030.5, ""weighted_mid_price"": 2029.5384615384614, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 1.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 2030.5}, ""RAINFOREST_RESIN"": {""timestamp"": 600.0, ""bid_prices"": [9996.0, 9995.0, NaN, NaN], ""bid_volumes"": [2.0, 28.0, NaN, NaN], ""ask_prices"": [10004.0, 10005.0, NaN, NaN], ""ask_volumes"": [-2.0, -28.0, NaN, NaN], ""best_bid"": 9996.0, ""best_bid_volume"": 2.0, ""best_ask"": 10004.0, ""best_ask_volume"": -2.0, ""total_ask_volume"": -30.0, ""total_bid_volume"": 30.0, ""total_volume"": 60.0, ""mid_price"": 10000.0, ""weighted_mid_price"": 10000.0, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 10000.92857142857}, ""SQUID_INK"": {""timestamp"": 600.0, ""bid_prices"": [1967.0, 1965.0, NaN, NaN], ""bid_volumes"": [5.0, 30.0, NaN, NaN], ""ask_prices"": [1968.0, NaN, NaN, NaN], ""ask_volumes"": [-30.0, NaN, NaN, NaN], ""best_bid"": 1967.0, ""best_bid_volume"": 5.0, ""best_ask"": 1968.0, ""best_ask_volume"": -30.0, ""total_ask_volume"": -30.0, ""total_bid_volume"": 35.0, ""total_volume"": 65.0, ""mid_price"": 1967.5, ""weighted_mid_price"": 1966.5384615384614, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 1967.6591899369198}}",600
,"{""KELP"": {""timestamp"": 700.0, ""bid_prices"": [2028.0, NaN, NaN, NaN], ""bid_volumes"": [22.0, NaN, NaN, NaN], ""ask_prices"": [2032.0, NaN, NaN, NaN], ""ask_volumes"": [-23.0, NaN, NaN, NaN], ""best_bid"": 2028.0, ""best_bid_volume"": 22.0, ""best_ask"": 2032.0, ""best_ask_volume"": -23.0, ""total_ask_volume"": -23.0, ""total_bid_volume"": 22.0, ""total_volume"": 45.0, ""mid_price"": 2030.0, ""weighted_mid_price"": 2030.0444444444445, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 1.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 2030.4375}, ""RAINFOREST_RESIN"": {""timestamp"": 700.0, ""bid_prices"": [9996.0, 9995.0, NaN, NaN], ""bid_volumes"": [1.0, 22.0, NaN, NaN], ""ask_prices"": [10004.0, 10005.0, NaN, NaN], ""ask_volumes"": [-1.0, -22.0, NaN, NaN], ""best_bid"": 9996.0, ""best_bid_volume"": 1.0, ""best_ask"": 10004.0, ""best_ask_volume"": -1.0, ""total_ask_volume"": -23.0, ""total_bid_volume"": 23.0, ""total_volume"": 46.0, ""mid_price"": 10000.0, ""weighted_mid_price"": 10000.0, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 10000.8125}, ""SQUID_INK"": {""timestamp"": 700.0, ""bid_prices"": [1967.0, NaN, NaN, NaN], ""bid_volumes"": [22.0, NaN, NaN, NaN], ""ask_prices"": [1970.0, NaN, NaN, NaN], ""ask_volumes"": [-23.0, NaN, NaN, NaN], ""best_bid"": 1967.0, ""best_bid_volume"": 22.0, ""best_ask"": 1970.0, ""best_ask_volume"": -23.0, ""total_ask_volume"": -23.0, ""total_bid_volume"": 22.0, ""total_volume"": 45.0, ""mid_price"": 1968.5, ""weighted_mid_price"": 1968.5333333333333, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 1968.0297078614715}}",700
,"{""KELP"": {""timestamp"": 800.0, ""bid_prices"": [2028.0, NaN, NaN, NaN], ""bid_volumes"": [25.0, NaN, NaN, NaN], ""ask_prices"": [2030.0, 2032.0, NaN, NaN], ""ask_volumes"": [-3.0, -25.0, NaN, NaN], ""best_bid"": 2028.0, ""best_bid_volume"": 25.0, ""best_ask"": 2030.0, ""best_ask_volume"": -3.0, ""total_ask_volume"": -28.0, ""total_bid_volume"": 25.0, ""total_volume"": 53.0, ""mid_price"": 2029.0, ""weighted_mid_price"": 2030.0, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 1.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 2030.2777777777778}, ""RAINFOREST_RESIN"": {""timestamp"": 800.0, ""bid_prices"": [9996.0, 9995.0, NaN, NaN], ""bid_volumes"": [1.0, 24.0, NaN, NaN], ""ask_prices"": [10000.0, 10004.0, 10005.0, NaN], ""ask_volumes"": [-3.0, -1.0, -24.0, NaN], ""best_bid"": 9996.0, ""best_bid_volume"": 1.0, ""best_ask"": 10000.0, ""best_ask_volume"": -3.0, ""total_ask_volume"": -28.0, ""total_bid_volume"": 25.0, ""total_volume"": 53.0, ""mid_price"": 9998.0, ""weighted_mid_price"": 10000.0, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 10000.5}, ""SQUID_INK"": {""timestamp"": 800.0, ""bid_prices"": [1967.0, NaN, NaN, NaN], ""bid_volumes"": [25.0, NaN, NaN, NaN], ""ask_prices"": [1968.0, 1970.0, NaN, NaN], ""ask_volumes"": [-3.0, -25.0, NaN, NaN], ""best_bid"": 1967.0, ""best_bid_volume"": 25.0, ""best_ask"": 1968.0, ""best_ask_volume"": -3.0, ""total_ask_volume"": -28.0, ""total_bid_volume"": 25.0, ""total_volume"": 53.0, ""mid_price"": 1967.5, ""weighted_mid_price"": 1968.4716981132076, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 1967.7797612856687}}",800
,"{""KELP"": {""timestamp"": 900.0, ""bid_prices"": [2029.0, NaN, NaN, NaN], ""bid_volumes"": [21.0, NaN, NaN, NaN], ""ask_prices"": [2032.0, NaN, NaN, NaN], ""ask_volumes"": [-21.0, NaN, NaN, NaN], ""best_bid"": 2029.0, ""best_bid_volume"": 21.0, ""best_ask"": 2032.0, ""best_ask_volume"": -21.0, ""total_ask_volume"": -21.0, ""total_bid_volume"": 21.0, ""total_volume"": 42.0, ""mid_price"": 2030.5, ""weighted_mid_price"": 2030.5, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 4.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 2030.3}, ""RAINFOREST_RESIN"": {""timestamp"": 900.0, ""bid_prices"": [9996.0, 9995.0, NaN, NaN], ""bid_volumes"": [1.0, 20.0, NaN, NaN], ""ask_prices"": [9998.0, 10004.0, 10005.0, NaN], ""ask_volumes"": [-11.0, -1.0, -20.0, NaN], ""best_bid"": 9996.0, ""best_bid_volume"": 1.0, ""best_ask"": 9998.0, ""best_ask_volume"": -11.0, ""total_ask_volume"": -32.0, ""total_bid_volume"": 21.0, ""total_volume"": 53.0, ""mid_price"": 9997.0, ""weighted_mid_price"": 9999.584905660377, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 3.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 10000.15}, ""SQUID_INK"": {""timestamp"": 900.0, ""bid_prices"": [1966.0, NaN, NaN, NaN], ""bid_volumes"": [21.0, NaN, NaN, NaN], ""ask_prices"": [1970.0, NaN, NaN, NaN], ""ask_volumes"": [-21.0, NaN, NaN, NaN], ""best_bid"": 1966.0, ""best_bid_volume"": 21.0, ""best_ask"": 1970.0, ""best_ask_volume"": -21.0, ""total_ask_volume"": -21.0, ""total_bid_volume"": 21.0, ""total_volume"": 42.0, ""mid_price"": 1968.0, ""weighted_mid_price"": 1968.0, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 1967.936785157102}}",900
