day;timestamp;product;bid_price_1;bid_volume_1;bid_price_2;bid_volume_2;bid_price_3;bid_volume_3;ask_price_1;ask_volume_1;ask_price_2;ask_volume_2;ask_price_3;ask_volume_3;mid_price;profit_and_loss
1;0;SQUID_INK;1835;1;1834;22;;;1837;1;1838;21;;;1836.0;0.0
1;0;PICNIC_BASKET1;58706;1;58705;10;58704;27;58715;1;58716;10;58717;27;58710.5;0.0
1;0;PICNIC_BASKET2;30252;11;30251;27;;;30257;1;30258;37;;;30254.5;0.0
1;0;RAINFOREST_RESIN;9998;3;9996;1;9995;21;10004;1;10005;21;;;10001.0;0.0
1;0;KELP;2032;23;;;;;2035;22;;;;;2033.5;0.0
1;0;CROISSANTS;4274;123;;;;;4276;123;;;;;4275.0;0.0
1;0;JAMS;6541;255;;;;;6543;255;;;;;6542.0;0.0
1;0;DJEMBES;13409;62;;;;;13410;27;13411;35;;;13409.5;0.0
1;100;KELP;2032;26;;;;;2034;5;2035;26;;;2033.0;0.0
1;100;CROISSANTS;4275;48;4274;54;;;4276;102;;;;;4275.5;0.0
1;100;JAMS;6541;224;;;;;6543;224;;;;;6542.0;0.0
1;100;SQUID_INK;1835;26;;;;;1837;5;1839;26;;;1836.0;0.0
1;100;PICNIC_BASKET1;58710;3;58705;19;58704;20;58716;19;58717;20;;;58713.0;0.0
1;100;PICNIC_BASKET2;30257;3;30255;19;30254;20;30261;39;;;;;30259.0;0.0
1;100;RAINFOREST_RESIN;9995;26;;;;;9998;1;10005;26;;;9996.5;0.0
1;100;DJEMBES;13408;67;;;;;13410;67;;;;;13409.0;0.0
1;200;RAINFOREST_RESIN;9996;2;9995;30;;;9998;1;10004;2;10005;30;9997.0;2.0
1;200;DJEMBES;13409;65;;;;;13410;65;;;;;13409.5;0.0
1;200;KELP;2034;1;2032;32;;;2035;32;;;;;2034.5;0.0
1;200;CROISSANTS;4275;62;4274;50;;;4276;112;;;;;4275.5;0.0
1;200;JAMS;6542;50;6541;123;;;6543;50;6544;123;;;6542.5;0.0
1;200;SQUID_INK;1834;1;1832;32;;;1835;32;;;;;1834.5;0.0
1;200;PICNIC_BASKET1;58707;2;58706;13;58705;20;58716;2;58717;13;58718;20;58711.5;0.0
1;200;PICNIC_BASKET2;30256;2;30255;33;;;30261;15;30262;20;;;30258.5;-3.5078125
1;300;DJEMBES;13408;62;;;;;13410;62;;;;;13409.0;0.0
1;300;KELP;2032;27;;;;;2035;28;;;;;2033.5;0.6724853515625
1;300;CROISSANTS;4275;36;4274;73;;;4276;109;;;;;4275.5;0.0
1;300;SQUID_INK;1834;27;;;;;1837;28;;;;;1835.5;11.80078125
1;300;PICNIC_BASKET2;30257;1;30256;33;;;30262;16;30263;18;;;30259.5;-6.671875
1;300;PICNIC_BASKET1;58706;1;58705;15;58704;18;58715;1;58716;15;58717;18;58710.5;0.0
1;300;JAMS;6542;10;6541;236;;;6543;236;;;;;6542.5;0.0
1;300;RAINFOREST_RESIN;9996;1;9995;27;;;9998;1;10004;1;10005;27;9997.0;4.0
1;400;SQUID_INK;1833;30;;;;;1836;25;;;;;1834.5;-22.359375
1;400;PICNIC_BASKET2;30255;16;30254;30;;;30261;46;;;;;30258.0;-2.828125
1;400;PICNIC_BASKET1;58698;16;58697;30;;;58709;16;58710;30;;;58703.5;0.0
1;400;RAINFOREST_RESIN;9995;25;;;;;10005;25;;;;;10000.0;4.0
1;400;DJEMBES;13410;30;13409;38;;;13411;68;;;;;13410.5;0.0
1;400;KELP;2032;30;;;;;2035;25;;;;;2033.5;0.662353515625
1;400;CROISSANTS;4274;107;;;;;4275;55;4276;52;;;4274.5;0.0
1;400;JAMS;6540;173;;;;;6542;173;;;;;6541.0;0.0
1;500;KELP;2032;22;;;;;2035;22;;;;;2033.5;0.6324462890625
1;500;SQUID_INK;1834;22;;;;;1837;22;;;;;1835.5;11.08984375
1;500;PICNIC_BASKET2;30256;34;;;;;30262;14;30263;20;;;30259.0;-7.171875
1;500;PICNIC_BASKET1;58697;14;58696;20;;;58708;34;;;;;58702.5;-110.3125
1;500;CROISSANTS;4274;127;;;;;4275;39;4276;88;;;4274.5;-9.5
1;500;JAMS;6541;88;6540;160;;;6542;88;6543;160;;;6541.5;0.0
1;500;RAINFOREST_RESIN;9995;22;;;;;10005;22;;;;;10000.0;4.0
1;500;DJEMBES;13410;20;13409;37;;;13411;57;;;;;13410.5;-6.40625
1;600;RAINFOREST_RESIN;9995;25;;;;;10005;25;;;;;10000.0;4.0
1;600;DJEMBES;13410;66;;;;;13412;66;;;;;13411.0;-44.625
1;600;KELP;2032;25;;;;;2034;2;2035;25;;;2033.0;0.683349609375
1;600;CROISSANTS;4274;121;;;;;4276;121;;;;;4275.0;1.84375
1;600;JAMS;6541;187;;;;;6543;187;;;;;6542.0;0.0
1;600;SQUID_INK;1832;25;;;;;1834;2;1835;25;;;1833.0;-44.36328125
1;600;PICNIC_BASKET2;30256;37;;;;;30262;14;30263;23;;;30259.0;-6.1328125
1;600;PICNIC_BASKET1;58694;14;58693;23;;;58705;14;58706;23;;;58699.5;-445.5
1;700;DJEMBES;13411;62;;;;;13412;62;;;;;13411.5;-91.375
1;700;KELP;2032;28;;;;;2035;23;;;;;2033.5;0.683349609375
1;700;SQUID_INK;1835;5;1834;23;;;1838;23;;;;;1836.5;33.0234375
