timestamp,buyer,seller,symbol,currency,price,quantity
0,,,CROISSANTS,SEASHELLS,4265,8
0,,,JAMS,SEASHELLS,6519,6
100,,SUBMISSION,KELP,SEASHELLS,2046,7
100,,SUBMISSION,SQUID_INK,SEASHELLS,1802,7
100,,SUBMISSION,SQUID_INK,SEASHELLS,1801,4
200,,SUBMISSION,VOLCANIC_ROCK,SEASHELLS,10221,135
200,,SUBMISSION,VOLCANIC_ROCK,SEASHELLS,10220,57
200,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,235,14
200,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10250,SEASHELLS,64,14
200,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10500,SEASHELLS,9,14
200,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,722,14
200,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,473,14
200,,,DJEMBES,SEASHELLS,13420,2
300,,SUBMISSION,VOLCANIC_ROCK,SEASHELLS,10222,138
300,,SUBMISSION,VOLCANIC_ROCK,SEASHELLS,10222,43
300,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,235,19
300,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,235,1
300,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10250,SEASHELLS,65,19
300,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10250,SEASHELLS,65,1
300,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,723,19
300,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,723,1
300,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,474,19
300,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,474,1
300,,,JAMS,SEASHELLS,6520,10
400,,SUBMISSION,CROISSANTS,SEASHELLS,4266,47
400,SUBMISSION,,VOLCANIC_ROCK,SEASHELLS,10218,128
400,SUBMISSION,,VOLCANIC_ROCK,SEASHELLS,10219,44
400,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10250,SEASHELLS,63,19
400,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,718,19
400,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,469,19
400,,,CROISSANTS,SEASHELLS,4267,5
500,,SUBMISSION,SQUID_INK,SEASHELLS,1802,6
500,SUBMISSION,,VOLCANIC_ROCK,SEASHELLS,10217,143
500,SUBMISSION,,VOLCANIC_ROCK,SEASHELLS,10218,63
500,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,230,16
500,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10250,SEASHELLS,63,16
500,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,718,16
500,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,469,16
600,SUBMISSION,,PICNIC_BASKET1,SEASHELLS,58712,20
600,,SUBMISSION,PICNIC_BASKET2,SEASHELLS,30098,4
600,SUBMISSION,,VOLCANIC_ROCK,SEASHELLS,10216,133
600,SUBMISSION,,VOLCANIC_ROCK,SEASHELLS,10217,59
600,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,230,20
600,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10250,SEASHELLS,63,20
600,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,716,20
600,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,467,20
700,,SUBMISSION,PICNIC_BASKET2,SEASHELLS,30098,1
700,,SUBMISSION,SQUID_INK,SEASHELLS,1803,4
700,,SUBMISSION,SQUID_INK,SEASHELLS,1803,1
700,,SUBMISSION,VOLCANIC_ROCK,SEASHELLS,10219,128
700,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,233,18
700,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,233,1
800,SUBMISSION,,KELP,SEASHELLS,2044,1
800,,SUBMISSION,PICNIC_BASKET2,SEASHELLS,30100,1
800,,SUBMISSION,PICNIC_BASKET2,SEASHELLS,30099,20
800,,SUBMISSION,PICNIC_BASKET2,SEASHELLS,30099,10
800,,SUBMISSION,SQUID_INK,SEASHELLS,1804,27
800,,SUBMISSION,SQUID_INK,SEASHELLS,1804,1
800,,SUBMISSION,VOLCANIC_ROCK,SEASHELLS,10221,5
800,,SUBMISSION,VOLCANIC_ROCK,SEASHELLS,10220,129
800,,SUBMISSION,VOLCANIC_ROCK,SEASHELLS,10220,47
800,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,235,10
800,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,235,1
800,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10250,SEASHELLS,64,10
800,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_10250,SEASHELLS,64,1
800,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,721,10
800,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,721,1
800,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,472,10
800,,SUBMISSION,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,472,1
800,,,CROISSANTS,SEASHELLS,4266,5
800,,,KELP,SEASHELLS,2044,1
800,,,SQUID_INK,SEASHELLS,1805,1
800,,,SQUID_INK,SEASHELLS,1805,1
900,SUBMISSION,,VOLCANIC_ROCK,SEASHELLS,10218,125
900,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,232,17
900,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10000,SEASHELLS,232,1
900,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10250,SEASHELLS,63,17
900,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_10250,SEASHELLS,63,1
900,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,718,17
900,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_9500,SEASHELLS,718,1
900,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,470,17
900,SUBMISSION,,VOLCANIC_ROCK_VOUCHER_9750,SEASHELLS,470,1
900,,,JAMS,SEASHELLS,6521,9
1000,,SUBMISSION,CROISSANTS,SEASHELLS,4266,63
