sandboxLog,lambdaLog,timestamp
,"traderData: 
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 3, Sell order depth : 1
SELL 1x 2028
Acceptable price : 10
Buy Order depth : 3, Sell order depth : 2
SELL 1x 10002",0
,"traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 2
SELL 24x 2025
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 2x 9996",100
,"traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 22x 2025
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 20x 9995",200
"
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 2
SELL 31x 2025
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 2x 9996",300
"
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 27x 2025
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 2x 9996",400
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 30x 2025
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 2
SELL 30x 9995",500
"
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 1
SELL 5x 2026
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 1
SELL 5x 10000",600
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 1
SELL 2x 2025
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 23x 9995",700
,"traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 1
SELL 1x 2024
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 1x 9996",800
"
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 23x 2024
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 1x 9996",900
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 2
SELL 26x 2024
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 26x 9995",1000
"
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 6x 2025
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 2x 9996",1100
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 2
SELL 21x 2024
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 2
SELL 21x 9995",1200
"
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 31x 2024
Acceptable price : 10
Buy Order depth : 3, Sell order depth : 2
SELL 1x 10002",1300
"
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 1
SELL 3x 2025
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 1x 9996",1400
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 27x 2024
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 27x 9995",1500
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 2
SELL 29x 2024
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 29x 9995",1600
"
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 2
SELL 22x 2024
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 3
SELL 2x 9996",1700
"
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 23x 2024
Acceptable price : 10
Buy Order depth : 3, Sell order depth : 2
SELL 1x 10002",1800
"
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 2
SELL 29x 2024
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 1x 9996",1900
"
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 26x 2024
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 3
SELL 2x 9996",2000
"
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 2
SELL 27x 2024
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 3
SELL 2x 9996",2100
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 3
SELL 25x 2024
Acceptable price : 10
Buy Order depth : 3, Sell order depth : 2
SELL 8x 9998",2200
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 32x 2024
Acceptable price : 10
Buy Order depth : 3, Sell order depth : 2
SELL 7x 9998",2300
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 2
SELL 29x 2024
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 29x 9995",2400
"
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 2x 2025
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 1x 9996",2500
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 1
SELL 3x 2025
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 23x 9995",2600
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 26x 2024
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 1
SELL 6x 9998",2700
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 25x 2023
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 25x 9995",2800
"
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 26x 2023
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 1x 9996",2900
"
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 29x 2024
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 1
SELL 1x 9998",3000
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 2
SELL 26x 2023
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 2x 9996",3100
"
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 2
SELL 23x 2023
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 1x 9996",3200
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 2
SELL 32x 2023
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 2x 9996",3300
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 26x 2023
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 2x 9996",3400
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 26x 2023
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 26x 9995",3500
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 21x 2023
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 2
SELL 21x 9995",3600
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 27x 2023
Acceptable price : 10
Buy Order depth : 3, Sell order depth : 2
SELL 1x 10002",3700
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 25x 2023
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 3
SELL 2x 9996",3800
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 28x 2023
Acceptable price : 10
Buy Order depth : 3, Sell order depth : 2
SELL 1x 9998",3900
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 32x 2023
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 2x 9996",4000
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 29x 2023
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 2
SELL 2x 9996",4100
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 26x 2023
Acceptable price : 10
Buy Order depth : 2, Sell order depth : 3
SELL 2x 9996",4200
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 2
SELL 29x 2023
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 3
SELL 22x 9995",4300
"
Orders for product RAINFOREST_RESIN exceeded limit of 50 set
Orders for product KELP exceeded limit of 50 set","traderData: SAMPLE
Observations: (plainValueObservations: {}, conversionObservations: {})
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 30x 2023
Acceptable price : 10
Buy Order depth : 1, Sell order depth : 1
SELL 30x 9995",4400
