sandboxLog,lambdaLog,timestamp
,"state.timestamp=0
state.own_trades={}
state.market_trades={}
state.position={}
BUY RAINFOREST_RESIN: for 10004$ -- with size: 2",0
,"state.timestamp=100
state.own_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN, SUBMISSION << , 10004.0, 2, 0)]}
state.market_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN,  << , 10005.0, 1, 0)], 'KELP': [(KELP,  << , 2029.0, 13, 0), (KELP,  << , 2029.0, 1, 0)]}
state.position={'RAINFOREST_RESIN': 2}
BUY RAINFOREST_RESIN: for 10004$ -- with size: 2",100
,"state.timestamp=200
state.own_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN, SUBMISSION << , 10004.0, 2, 100)]}
state.market_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN,  << , 10005.0, 1, 0)], 'KELP': [(KELP,  << , 2029.0, 13, 0), (KELP,  << , 2029.0, 1, 0)]}
state.position={'RAINFOREST_RESIN': 4}
BUY RAINFOREST_RESIN: for 10005$ -- with size: 20",200
,"state.timestamp=300
state.own_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN, SUBMISSION << , 10005.0, 20, 200)]}
state.market_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN,  << , 10005.0, 1, 0)], 'KELP': [(KELP,  << , 2029.0, 13, 0), (KELP,  << , 2029.0, 1, 0)]}
state.position={'RAINFOREST_RESIN': 24}
BUY RAINFOREST_RESIN: for 10004$ -- with size: 2",300
,"state.timestamp=400
state.own_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN, SUBMISSION << , 10004.0, 2, 300)]}
state.market_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN,  << , 10005.0, 1, 0)], 'KELP': [(KELP,  << , 2029.0, 13, 0), (KELP,  << , 2029.0, 1, 0)]}
state.position={'RAINFOREST_RESIN': 26}
BUY RAINFOREST_RESIN: for 10004$ -- with size: 2",400
,"state.timestamp=500
state.own_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN, SUBMISSION << , 10004.0, 2, 400)]}
state.market_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN,  << , 10005.0, 1, 0)], 'KELP': [(KELP,  << , 2029.0, 13, 0), (KELP,  << , 2029.0, 1, 0)]}
state.position={'RAINFOREST_RESIN': 28}
BUY RAINFOREST_RESIN: for 10002$ -- with size: 4",500
,"state.timestamp=600
state.own_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN, SUBMISSION << , 10002.0, 4, 500)]}
state.market_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN,  << , 10005.0, 1, 0)], 'KELP': [(KELP,  << , 2029.0, 13, 0), (KELP,  << , 2029.0, 1, 0)]}
state.position={'RAINFOREST_RESIN': 32}
BUY RAINFOREST_RESIN: for 10005$ -- with size: 18",600
,"state.timestamp=700
state.own_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN, SUBMISSION << , 10005.0, 18, 600)]}
state.market_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN,  << , 10005.0, 1, 0)], 'KELP': [(KELP,  << , 2029.0, 13, 0), (KELP,  << , 2029.0, 1, 0)]}
state.position={'RAINFOREST_RESIN': 50}
BUY RAINFOREST_RESIN: for 10005$ -- with size: 0",700
,"state.timestamp=800
state.own_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN, SUBMISSION << , 10005.0, 18, 600)]}
state.market_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN,  << , 10005.0, 1, 0)], 'KELP': [(KELP,  << , 2029.0, 13, 0), (KELP,  << , 2029.0, 1, 0)]}
state.position={'RAINFOREST_RESIN': 50}
BUY RAINFOREST_RESIN: for 10004$ -- with size: 0",800
,"state.timestamp=900
state.own_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN, SUBMISSION << , 10005.0, 18, 600)]}
state.market_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN,  << , 10005.0, 1, 0)], 'KELP': [(KELP,  << , 2029.0, 13, 0), (KELP,  << , 2029.0, 1, 0)]}
state.position={'RAINFOREST_RESIN': 50}
BUY RAINFOREST_RESIN: for 10004$ -- with size: 0",900
,"state.timestamp=1000
state.own_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN, SUBMISSION << , 10005.0, 18, 600)]}
state.market_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN,  << , 10005.0, 1, 0)], 'KELP': [(KELP,  << , 2029.0, 13, 0), (KELP,  << , 2029.0, 1, 0)]}
state.position={'RAINFOREST_RESIN': 50}
BUY RAINFOREST_RESIN: for 10005$ -- with size: 0",1000
,"state.timestamp=1100
state.own_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN, SUBMISSION << , 10005.0, 18, 600)]}
state.market_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN,  << , 10005.0, 1, 0)], 'KELP': [(KELP,  << , 2029.0, 13, 0), (KELP,  << , 2029.0, 1, 0)]}
state.position={'RAINFOREST_RESIN': 50}
BUY RAINFOREST_RESIN: for 10004$ -- with size: 0",1100
,"state.timestamp=1200
state.own_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN, SUBMISSION << , 10005.0, 18, 600)]}
state.market_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN,  << , 9996.0, 2, 1100)], 'KELP': [(KELP,  << , 2029.0, 13, 0), (KELP,  << , 2029.0, 1, 0)]}
state.position={'RAINFOREST_RESIN': 50}
BUY RAINFOREST_RESIN: for 9998$ -- with size: 0",1200
,"state.timestamp=1300
state.own_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN, SUBMISSION << , 10005.0, 18, 600)]}
state.market_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN,  << , 9996.0, 2, 1100)], 'KELP': [(KELP,  << , 2029.0, 13, 0), (KELP,  << , 2029.0, 1, 0)]}
state.position={'RAINFOREST_RESIN': 50}
BUY RAINFOREST_RESIN: for 10004$ -- with size: 0",1300
,"state.timestamp=1400
state.own_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN, SUBMISSION << , 10005.0, 18, 600)]}
state.market_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN,  << , 9996.0, 2, 1100)], 'KELP': [(KELP,  << , 2029.0, 13, 0), (KELP,  << , 2029.0, 1, 0)]}
state.position={'RAINFOREST_RESIN': 50}
BUY RAINFOREST_RESIN: for 10004$ -- with size: 0",1400
,"state.timestamp=1500
state.own_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN, SUBMISSION << , 10005.0, 18, 600)]}
state.market_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN,  << , 9996.0, 2, 1100)], 'KELP': [(KELP,  << , 2029.0, 13, 0), (KELP,  << , 2029.0, 1, 0)]}
state.position={'RAINFOREST_RESIN': 50}
BUY RAINFOREST_RESIN: for 10005$ -- with size: 0",1500
,"state.timestamp=1600
state.own_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN, SUBMISSION << , 10005.0, 18, 600)]}
state.market_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN,  << , 9996.0, 2, 1100)], 'KELP': [(KELP,  << , 2029.0, 13, 0), (KELP,  << , 2029.0, 1, 0)]}
state.position={'RAINFOREST_RESIN': 50}
BUY RAINFOREST_RESIN: for 10005$ -- with size: 0",1600
,"state.timestamp=1700
state.own_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN, SUBMISSION << , 10005.0, 18, 600)]}
state.market_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN,  << , 10002.0, 1, 1700)], 'KELP': [(KELP,  << , 2029.0, 13, 0), (KELP,  << , 2029.0, 1, 0)]}
state.position={'RAINFOREST_RESIN': 50}
BUY RAINFOREST_RESIN: for 10002$ -- with size: 0",1700
,"state.timestamp=1800
state.own_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN, SUBMISSION << , 10005.0, 18, 600)]}
state.market_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN,  << , 10002.0, 1, 1700)], 'KELP': [(KELP,  << , 2026.0, 8, 1700)]}
state.position={'RAINFOREST_RESIN': 50}
BUY RAINFOREST_RESIN: for 10004$ -- with size: 0",1800
,"state.timestamp=1900
state.own_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN, SUBMISSION << , 10005.0, 18, 600)]}
state.market_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN,  << , 10002.0, 1, 1800)], 'KELP': [(KELP,  << , 2026.0, 1, 1900)]}
state.position={'RAINFOREST_RESIN': 50}
BUY RAINFOREST_RESIN: for 10004$ -- with size: 0",1900
,"state.timestamp=2000
state.own_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN, SUBMISSION << , 10005.0, 18, 600)]}
state.market_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN,  << , 10002.0, 1, 1800)], 'KELP': [(KELP,  << , 2026.0, 1, 1900)]}
state.position={'RAINFOREST_RESIN': 50}
BUY RAINFOREST_RESIN: for 9998$ -- with size: 0",2000
,"state.timestamp=2100
state.own_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN, SUBMISSION << , 10005.0, 18, 600)]}
state.market_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN,  << , 9998.0, 1, 2000)], 'KELP': [(KELP,  << , 2026.0, 1, 1900)]}
state.position={'RAINFOREST_RESIN': 50}
BUY RAINFOREST_RESIN: for 10002$ -- with size: 0",2100
,"state.timestamp=2200
state.own_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN, SUBMISSION << , 10005.0, 18, 600)]}
state.market_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN,  << , 9998.0, 1, 2000)], 'KELP': [(KELP,  << , 2026.0, 1, 1900)]}
state.position={'RAINFOREST_RESIN': 50}
BUY RAINFOREST_RESIN: for 10004$ -- with size: 0",2200
,"state.timestamp=2300
state.own_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN, SUBMISSION << , 10005.0, 18, 600)]}
state.market_trades={'RAINFOREST_RESIN': [(RAINFOREST_RESIN,  << , 9998.0, 1, 2000)], 'KELP': [(KELP,  << , 2026.0, 1, 1900)]}
state.position={'RAINFOREST_RESIN': 50}
BUY RAINFOREST_RESIN: for 10004$ -- with size: 0",2300
