sandboxLog,lambdaLog,timestamp
,"CHECK LIST: [2028.5]
CHECK traderdata: {'price_list': {'KELP': [2028.5], 'RAINFOREST_RESIN': [10003.0]}}",0
,"CHECK LIST: [2028.5, 2026.5]
CHECK traderdata: {'price_list': {'KELP': [2028.5, 2026.5], 'RAINFOREST_RESIN': [10003.0, 10000.0]}}",100
,"CHECK LIST: [2028.5, 2026.5, 2026.5]
CHECK traderdata: {'price_list': {'KELP': [2028.5, 2026.5, 2026.5], 'RAINFOREST_RESIN': [10003.0, 10000.0, 10000.0]}}",200
,"CHECK LIST: [2028.5, 2026.5, 2026.5, 2026.5]
CHECK traderdata: {'price_list': {'KELP': [2028.5, 2026.5, 2026.5, 2026.5], 'RAINFOREST_RESIN': [10003.0, 10000.0, 10000.0, 10000.0]}}",300
,"CHECK LIST: [2028.5, 2026.5, 2026.5, 2026.5, 2026.5]
CHECK traderdata: {'price_list': {'KELP': [2028.5, 2026.5, 2026.5, 2026.5, 2026.5], 'RAINFOREST_RESIN': [10003.0, 10000.0, 10000.0, 10000.0, 10000.0]}}",400
,"CHECK LIST: [2026.5, 2026.5, 2026.5, 2026.5, 2026.5]
CHECK traderdata: {'price_list': {'KELP': [2026.5, 2026.5, 2026.5, 2026.5, 2026.5], 'RAINFOREST_RESIN': [10003.0, 10000.0, 10000.0, 10000.0, 10000.0, 9998.5]}}",500
,"CHECK LIST: [2026.5, 2026.5, 2026.5, 2026.5, 2027.0]
CHECK traderdata: {'price_list': {'KELP': [2026.5, 2026.5, 2026.5, 2026.5, 2027.0], 'RAINFOREST_RESIN': [10003.0, 10000.0, 10000.0, 10000.0, 10000.0, 9998.5, 10002.5]}}",600
,"CHECK LIST: [2026.5, 2026.5, 2026.5, 2027.0, 2026.5]
CHECK traderdata: {'price_list': {'KELP': [2026.5, 2026.5, 2026.5, 2027.0, 2026.5], 'RAINFOREST_RESIN': [10003.0, 10000.0, 10000.0, 10000.0, 10000.0, 9998.5, 10002.5, 10000.0]}}",700
,"CHECK LIST: [2026.5, 2026.5, 2027.0, 2026.5, 2025.5]
CHECK traderdata: {'price_list': {'KELP': [2026.5, 2026.5, 2027.0, 2026.5, 2025.5], 'RAINFOREST_RESIN': [10003.0, 10000.0, 10000.0, 10000.0, 10000.0, 9998.5, 10002.5, 10000.0, 10000.0]}}",800
,"CHECK LIST: [2026.5, 2027.0, 2026.5, 2025.5, 2025.5]
CHECK traderdata: {'price_list': {'KELP': [2026.5, 2027.0, 2026.5, 2025.5, 2025.5], 'RAINFOREST_RESIN': [10003.0, 10000.0, 10000.0, 10000.0, 10000.0, 9998.5, 10002.5, 10000.0, 10000.0, 10000.0]}}",900
,"CHECK LIST: [2027.0, 2026.5, 2025.5, 2025.5, 2025.0]
CHECK traderdata: {'price_list': {'KELP': [2027.0, 2026.5, 2025.5, 2025.5, 2025.0], 'RAINFOREST_RESIN': [10000.0, 10000.0, 10000.0, 10000.0, 9998.5, 10002.5, 10000.0, 10000.0, 10000.0, 10000.0]}}",1000
,"CHECK LIST: [2026.5, 2025.5, 2025.5, 2025.0, 2026.0]
CHECK traderdata: {'price_list': {'KELP': [2026.5, 2025.5, 2025.5, 2025.0, 2026.0], 'RAINFOREST_RESIN': [10000.0, 10000.0, 10000.0, 9998.5, 10002.5, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0]}}",1100
,"best_ask is 9998 < fair price 9999.75 on product RAINFOREST_RESIN
sell: (RAINFOREST_RESIN, 9998, 1)
CHECK LIST: [2025.5, 2025.5, 2025.0, 2026.0, 2025.0]
CHECK traderdata: {'price_list': {'KELP': [2025.5, 2025.5, 2025.0, 2026.0, 2025.0], 'RAINFOREST_RESIN': [10000.0, 10000.0, 9998.5, 10002.5, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 9996.5]}}",1200
,"best_bid is 10002 < fair price 10000.05 on product RAINFOREST_RESIN
buy: (RAINFOREST_RESIN, 10002, -1)
CHECK LIST: [2025.5, 2025.0, 2026.0, 2025.0, 2026.0]
CHECK traderdata: {'price_list': {'KELP': [2025.5, 2025.0, 2026.0, 2025.0, 2026.0], 'RAINFOREST_RESIN': [10000.0, 9998.5, 10002.5, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 9996.5, 10003.0]}}",1300
,"CHECK LIST: [2025.0, 2026.0, 2025.0, 2026.0, 2026.5]
CHECK traderdata: {'price_list': {'KELP': [2025.0, 2026.0, 2025.0, 2026.0, 2026.5], 'RAINFOREST_RESIN': [9998.5, 10002.5, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 9996.5, 10003.0, 10000.0]}}",1400
,"CHECK LIST: [2026.0, 2025.0, 2026.0, 2026.5, 2026.0]
CHECK traderdata: {'price_list': {'KELP': [2026.0, 2025.0, 2026.0, 2026.5, 2026.0], 'RAINFOREST_RESIN': [10002.5, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 9996.5, 10003.0, 10000.0, 10000.0]}}",1500
,"CHECK LIST: [2025.0, 2026.0, 2026.5, 2026.0, 2025.0]
CHECK traderdata: {'price_list': {'KELP': [2025.0, 2026.0, 2026.5, 2026.0, 2025.0], 'RAINFOREST_RESIN': [10000.0, 10000.0, 10000.0, 10000.0, 10000.0, 9996.5, 10003.0, 10000.0, 10000.0, 10000.0]}}",1600
,"CHECK LIST: [2026.0, 2026.5, 2026.0, 2025.0, 2025.0]
CHECK traderdata: {'price_list': {'KELP': [2026.0, 2026.5, 2026.0, 2025.0, 2025.0], 'RAINFOREST_RESIN': [10000.0, 10000.0, 10000.0, 10000.0, 9996.5, 10003.0, 10000.0, 10000.0, 10000.0, 9999.0]}}",1700
,"best_bid is 10002 < fair price 10000.15 on product RAINFOREST_RESIN
buy: (RAINFOREST_RESIN, 10002, -1)
CHECK LIST: [2026.5, 2026.0, 2025.0, 2025.0, 2026.0]
CHECK traderdata: {'price_list': {'KELP': [2026.5, 2026.0, 2025.0, 2025.0, 2026.0], 'RAINFOREST_RESIN': [10000.0, 10000.0, 10000.0, 9996.5, 10003.0, 10000.0, 10000.0, 10000.0, 9999.0, 10003.0]}}",1800
,"CHECK LIST: [2026.0, 2025.0, 2025.0, 2026.0, 2025.0]
CHECK traderdata: {'price_list': {'KELP': [2026.0, 2025.0, 2025.0, 2026.0, 2025.0], 'RAINFOREST_RESIN': [10000.0, 10000.0, 9996.5, 10003.0, 10000.0, 10000.0, 10000.0, 9999.0, 10003.0, 10000.0]}}",1900
,"best_ask is 9998 < fair price 9999.85 on product RAINFOREST_RESIN
sell: (RAINFOREST_RESIN, 9998, 1)
CHECK LIST: [2025.0, 2025.0, 2026.0, 2025.0, 2025.5]
CHECK traderdata: {'price_list': {'KELP': [2025.0, 2025.0, 2026.0, 2025.0, 2025.5], 'RAINFOREST_RESIN': [10000.0, 9996.5, 10003.0, 10000.0, 10000.0, 10000.0, 9999.0, 10003.0, 10000.0, 9997.0]}}",2000
,"CHECK LIST: [2025.0, 2026.0, 2025.0, 2025.5, 2025.5]
CHECK traderdata: {'price_list': {'KELP': [2025.0, 2026.0, 2025.0, 2025.5, 2025.5], 'RAINFOREST_RESIN': [9996.5, 10003.0, 10000.0, 10000.0, 10000.0, 9999.0, 10003.0, 10000.0, 9997.0, 9999.0]}}",2100
,"CHECK LIST: [2026.0, 2025.0, 2025.5, 2025.5, 2025.0]
CHECK traderdata: {'price_list': {'KELP': [2026.0, 2025.0, 2025.5, 2025.5, 2025.0], 'RAINFOREST_RESIN': [10003.0, 10000.0, 10000.0, 10000.0, 9999.0, 10003.0, 10000.0, 9997.0, 9999.0, 10001.0]}}",2200
,"CHECK LIST: [2025.0, 2025.5, 2025.5, 2025.0, 2026.0]
CHECK traderdata: {'price_list': {'KELP': [2025.0, 2025.5, 2025.5, 2025.0, 2026.0], 'RAINFOREST_RESIN': [10000.0, 10000.0, 10000.0, 9999.0, 10003.0, 10000.0, 9997.0, 9999.0, 10001.0, 10001.0]}}",2300
,"best_ask is 2025 < fair price 2025.3 on product KELP
sell: (KELP, 2025, 1)
CHECK LIST: [2025.5, 2025.5, 2025.0, 2026.0, 2024.5]
CHECK traderdata: {'price_list': {'KELP': [2025.5, 2025.5, 2025.0, 2026.0, 2024.5], 'RAINFOREST_RESIN': [10000.0, 10000.0, 9999.0, 10003.0, 10000.0, 9997.0, 9999.0, 10001.0, 10001.0, 10000.0]}}",2400
,"CHECK LIST: [2025.5, 2025.0, 2026.0, 2024.5, 2026.0]
CHECK traderdata: {'price_list': {'KELP': [2025.5, 2025.0, 2026.0, 2024.5, 2026.0], 'RAINFOREST_RESIN': [10000.0, 9999.0, 10003.0, 10000.0, 9997.0, 9999.0, 10001.0, 10001.0, 10000.0, 10000.0]}}",2500
,"CHECK LIST: [2025.0, 2026.0, 2024.5, 2026.0, 2026.5]
CHECK traderdata: {'price_list': {'KELP': [2025.0, 2026.0, 2024.5, 2026.0, 2026.5], 'RAINFOREST_RESIN': [9999.0, 10003.0, 10000.0, 9997.0, 9999.0, 10001.0, 10001.0, 10000.0, 10000.0, 10000.0]}}",2600
,"CHECK LIST: [2026.0, 2024.5, 2026.0, 2026.5, 2025.5]
CHECK traderdata: {'price_list': {'KELP': [2026.0, 2024.5, 2026.0, 2026.5, 2025.5], 'RAINFOREST_RESIN': [10003.0, 10000.0, 9997.0, 9999.0, 10001.0, 10001.0, 10000.0, 10000.0, 10000.0, 10001.5]}}",2700
,"CHECK LIST: [2024.5, 2026.0, 2026.5, 2025.5, 2025.0]
CHECK traderdata: {'price_list': {'KELP': [2024.5, 2026.0, 2026.5, 2025.5, 2025.0], 'RAINFOREST_RESIN': [10000.0, 9997.0, 9999.0, 10001.0, 10001.0, 10000.0, 10000.0, 10000.0, 10001.5, 10000.0]}}",2800
,"CHECK LIST: [2026.0, 2026.5, 2025.5, 2025.0, 2025.0]
CHECK traderdata: {'price_list': {'KELP': [2026.0, 2026.5, 2025.5, 2025.0, 2025.0], 'RAINFOREST_RESIN': [9997.0, 9999.0, 10001.0, 10001.0, 10000.0, 10000.0, 10000.0, 10001.5, 10000.0, 10000.0]}}",2900
,"CHECK LIST: [2026.5, 2025.5, 2025.0, 2025.0, 2025.5]
CHECK traderdata: {'price_list': {'KELP': [2026.5, 2025.5, 2025.0, 2025.0, 2025.5], 'RAINFOREST_RESIN': [9999.0, 10001.0, 10001.0, 10000.0, 10000.0, 10000.0, 10001.5, 10000.0, 10000.0, 10001.5]}}",3000
,"CHECK LIST: [2025.5, 2025.0, 2025.0, 2025.5, 2024.0]
CHECK traderdata: {'price_list': {'KELP': [2025.5, 2025.0, 2025.0, 2025.5, 2024.0], 'RAINFOREST_RESIN': [10001.0, 10001.0, 10000.0, 10000.0, 10000.0, 10001.5, 10000.0, 10000.0, 10001.5, 10000.0]}}",3100
,"CHECK LIST: [2025.0, 2025.0, 2025.5, 2024.0, 2024.0]
CHECK traderdata: {'price_list': {'KELP': [2025.0, 2025.0, 2025.5, 2024.0, 2024.0], 'RAINFOREST_RESIN': [10001.0, 10000.0, 10000.0, 10000.0, 10001.5, 10000.0, 10000.0, 10001.5, 10000.0, 10000.0]}}",3200
,"CHECK LIST: [2025.0, 2025.5, 2024.0, 2024.0, 2024.0]
CHECK traderdata: {'price_list': {'KELP': [2025.0, 2025.5, 2024.0, 2024.0, 2024.0], 'RAINFOREST_RESIN': [10000.0, 10000.0, 10000.0, 10001.5, 10000.0, 10000.0, 10001.5, 10000.0, 10000.0, 10000.0]}}",3300
,"CHECK LIST: [2025.5, 2024.0, 2024.0, 2024.0, 2024.5]
CHECK traderdata: {'price_list': {'KELP': [2025.5, 2024.0, 2024.0, 2024.0, 2024.5], 'RAINFOREST_RESIN': [10000.0, 10000.0, 10001.5, 10000.0, 10000.0, 10001.5, 10000.0, 10000.0, 10000.0, 10000.0]}}",3400
,"CHECK LIST: [2024.0, 2024.0, 2024.0, 2024.5, 2024.5]
CHECK traderdata: {'price_list': {'KELP': [2024.0, 2024.0, 2024.0, 2024.5, 2024.5], 'RAINFOREST_RESIN': [10000.0, 10001.5, 10000.0, 10000.0, 10001.5, 10000.0, 10000.0, 10000.0, 10000.0, 10000.0]}}",3500
