sandboxLog,lambdaLog,timestamp
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",0
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",100
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",200
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",300
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",400
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",500
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",600
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",700
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",800
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",900
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",1000
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",1100
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}
buying best: {orders}
buying second best also: {orders}",1200
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",1300
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",1400
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",1500
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",1600
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",1700
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",1800
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",1900
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}
buying best: {orders}
buying second best also: {orders}",2000
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",2100
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",2200
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",2300
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}
buying best: {orders}
buying second best also: {orders}",2400
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",2500
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",2600
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",2700
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",2800
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",2900
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",3000
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",3100
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",3200
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",3300
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",3400
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",3500
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}
buying best: {orders}
buying second best also: {orders}",3600
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",3700
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",3800
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",3900
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",4000
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",4100
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",4200
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}
buying best: {orders}
buying second best also: {orders}
buying best: {orders}",4300
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",4400
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",4500
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",4600
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",4700
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",4800
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",4900
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",5000
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",5100
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",5200
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",5300
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",5400
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",5500
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",5600
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",5700
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",5800
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",5900
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",6000
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",6100
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",6200
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",6300
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",6400
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}
buying best: {orders}",6500
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",6600
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",6700
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",6800
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",6900
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",7000
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",7100
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",7200
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",7300
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",7400
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",7500
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",7600
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",7700
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",7800
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",7900
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",8000
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",8100
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",8200
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",8300
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",8400
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",8500
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",8600
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",8700
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}
buying best: {orders}
buying second best also: {orders}",8800
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",8900
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",9000
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",9100
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",9200
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",9300
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",9400
,"(plainValueObservations: {}, conversionObservations: {})
{}
{}",9500
