sandboxLog,lambdaLog,timestamp
,0: latest_price=2028.5 -- high_bound=2028.5 -- low_bound=2028.5 -- dc_signal=0,0
,100: latest_price=2026.5 -- high_bound=2028.5 -- low_bound=2028.5 -- dc_signal=0,100
,200: latest_price=2026.5 -- high_bound=2028.5 -- low_bound=2026.5 -- dc_signal=0,200
,300: latest_price=2026.5 -- high_bound=2028.5 -- low_bound=2026.5 -- dc_signal=0,300
,400: latest_price=2026.5 -- high_bound=2028.5 -- low_bound=2026.5 -- dc_signal=0,400
,500: latest_price=2026.5 -- high_bound=2028.5 -- low_bound=2026.5 -- dc_signal=0,500
,600: latest_price=2027.0 -- high_bound=2028.5 -- low_bound=2026.5 -- dc_signal=0,600
,700: latest_price=2026.5 -- high_bound=2028.5 -- low_bound=2026.5 -- dc_signal=0,700
,800: latest_price=2025.5 -- high_bound=2028.5 -- low_bound=2026.5 -- dc_signal=-1,800
,900: latest_price=2025.5 -- high_bound=2028.5 -- low_bound=2025.5 -- dc_signal=-1,900
,1000: latest_price=2025.0 -- high_bound=2027.0 -- low_bound=2025.5 -- dc_signal=-1,1000
,1100: latest_price=2026.0 -- high_bound=2027.0 -- low_bound=2025.0 -- dc_signal=-1,1100
,1200: latest_price=2025.0 -- high_bound=2027.0 -- low_bound=2025.0 -- dc_signal=-1,1200
,1300: latest_price=2026.0 -- high_bound=2027.0 -- low_bound=2025.0 -- dc_signal=-1,1300
,1400: latest_price=2026.5 -- high_bound=2027.0 -- low_bound=2025.0 -- dc_signal=-1,1400
,1500: latest_price=2026.0 -- high_bound=2027.0 -- low_bound=2025.0 -- dc_signal=-1,1500
,1600: latest_price=2025.0 -- high_bound=2026.5 -- low_bound=2025.0 -- dc_signal=-1,1600
,1700: latest_price=2025.0 -- high_bound=2026.5 -- low_bound=2025.0 -- dc_signal=-1,1700
,1800: latest_price=2026.0 -- high_bound=2026.5 -- low_bound=2025.0 -- dc_signal=-1,1800
,1900: latest_price=2025.0 -- high_bound=2026.5 -- low_bound=2025.0 -- dc_signal=-1,1900
,2000: latest_price=2025.5 -- high_bound=2026.5 -- low_bound=2025.0 -- dc_signal=-1,2000
,2100: latest_price=2025.5 -- high_bound=2026.5 -- low_bound=2025.0 -- dc_signal=-1,2100
,2200: latest_price=2025.0 -- high_bound=2026.5 -- low_bound=2025.0 -- dc_signal=-1,2200
,2300: latest_price=2026.0 -- high_bound=2026.5 -- low_bound=2025.0 -- dc_signal=-1,2300
,2400: latest_price=2024.5 -- high_bound=2026.0 -- low_bound=2025.0 -- dc_signal=-1,2400
,2500: latest_price=2026.0 -- high_bound=2026.0 -- low_bound=2024.5 -- dc_signal=-1,2500
,2600: latest_price=2026.5 -- high_bound=2026.0 -- low_bound=2024.5 -- dc_signal=1,2600
,2700: latest_price=2025.5 -- high_bound=2026.5 -- low_bound=2024.5 -- dc_signal=1,2700
,2800: latest_price=2025.0 -- high_bound=2026.5 -- low_bound=2024.5 -- dc_signal=1,2800
,2900: latest_price=2025.0 -- high_bound=2026.5 -- low_bound=2024.5 -- dc_signal=1,2900
,3000: latest_price=2025.5 -- high_bound=2026.5 -- low_bound=2024.5 -- dc_signal=1,3000
,3100: latest_price=2024.0 -- high_bound=2026.5 -- low_bound=2024.5 -- dc_signal=-1,3100
,3200: latest_price=2024.0 -- high_bound=2026.5 -- low_bound=2024.0 -- dc_signal=-1,3200
,3300: latest_price=2024.0 -- high_bound=2026.5 -- low_bound=2024.0 -- dc_signal=-1,3300
,3400: latest_price=2024.5 -- high_bound=2026.5 -- low_bound=2024.0 -- dc_signal=-1,3400
,3500: latest_price=2024.5 -- high_bound=2026.5 -- low_bound=2024.0 -- dc_signal=-1,3500
,3600: latest_price=2024.5 -- high_bound=2025.5 -- low_bound=2024.0 -- dc_signal=-1,3600
,3700: latest_price=2024.5 -- high_bound=2025.5 -- low_bound=2024.0 -- dc_signal=-1,3700
,3800: latest_price=2024.5 -- high_bound=2025.5 -- low_bound=2024.0 -- dc_signal=-1,3800
,3900: latest_price=2024.5 -- high_bound=2025.5 -- low_bound=2024.0 -- dc_signal=-1,3900
,4000: latest_price=2024.5 -- high_bound=2024.5 -- low_bound=2024.0 -- dc_signal=-1,4000
,4100: latest_price=2025.0 -- high_bound=2024.5 -- low_bound=2024.0 -- dc_signal=1,4100
,4200: latest_price=2025.0 -- high_bound=2025.0 -- low_bound=2024.0 -- dc_signal=1,4200
,4300: latest_price=2023.5 -- high_bound=2025.0 -- low_bound=2024.5 -- dc_signal=-1,4300
,4400: latest_price=2024.5 -- high_bound=2025.0 -- low_bound=2023.5 -- dc_signal=-1,4400
,4500: latest_price=2024.5 -- high_bound=2025.0 -- low_bound=2023.5 -- dc_signal=-1,4500
,4600: latest_price=2024.5 -- high_bound=2025.0 -- low_bound=2023.5 -- dc_signal=-1,4600
,4700: latest_price=2024.0 -- high_bound=2025.0 -- low_bound=2023.5 -- dc_signal=-1,4700
,4800: latest_price=2025.0 -- high_bound=2025.0 -- low_bound=2023.5 -- dc_signal=-1,4800
,4900: latest_price=2025.0 -- high_bound=2025.0 -- low_bound=2023.5 -- dc_signal=-1,4900
,5000: latest_price=2024.5 -- high_bound=2025.0 -- low_bound=2023.5 -- dc_signal=-1,5000
,5100: latest_price=2024.5 -- high_bound=2025.0 -- low_bound=2023.5 -- dc_signal=-1,5100
,5200: latest_price=2024.5 -- high_bound=2025.0 -- low_bound=2023.5 -- dc_signal=-1,5200
,5300: latest_price=2025.5 -- high_bound=2025.0 -- low_bound=2024.0 -- dc_signal=1,5300
,5400: latest_price=2024.0 -- high_bound=2025.5 -- low_bound=2024.0 -- dc_signal=1,5400
,5500: latest_price=2025.0 -- high_bound=2025.5 -- low_bound=2024.0 -- dc_signal=1,5500
,5600: latest_price=2026.0 -- high_bound=2025.5 -- low_bound=2024.0 -- dc_signal=1,5600
,5700: latest_price=2025.5 -- high_bound=2026.0 -- low_bound=2024.0 -- dc_signal=1,5700
,5800: latest_price=2025.5 -- high_bound=2026.0 -- low_bound=2024.0 -- dc_signal=1,5800
,5900: latest_price=2025.5 -- high_bound=2026.0 -- low_bound=2024.0 -- dc_signal=1,5900
,6000: latest_price=2025.5 -- high_bound=2026.0 -- low_bound=2024.0 -- dc_signal=1,6000
,6100: latest_price=2025.5 -- high_bound=2026.0 -- low_bound=2024.0 -- dc_signal=1,6100
,6200: latest_price=2025.5 -- high_bound=2026.0 -- low_bound=2024.0 -- dc_signal=1,6200
,6300: latest_price=2025.5 -- high_bound=2026.0 -- low_bound=2024.0 -- dc_signal=1,6300
,6400: latest_price=2025.5 -- high_bound=2026.0 -- low_bound=2025.0 -- dc_signal=1,6400
,6500: latest_price=2025.5 -- high_bound=2026.0 -- low_bound=2025.5 -- dc_signal=1,6500
,6600: latest_price=2026.0 -- high_bound=2025.5 -- low_bound=2025.5 -- dc_signal=1,6600
,6700: latest_price=2026.5 -- high_bound=2026.0 -- low_bound=2025.5 -- dc_signal=1,6700
,6800: latest_price=2025.0 -- high_bound=2026.5 -- low_bound=2025.5 -- dc_signal=-1,6800
,6900: latest_price=2025.0 -- high_bound=2026.5 -- low_bound=2025.0 -- dc_signal=-1,6900
,7000: latest_price=2026.5 -- high_bound=2026.5 -- low_bound=2025.0 -- dc_signal=-1,7000
,7100: latest_price=2025.5 -- high_bound=2026.5 -- low_bound=2025.0 -- dc_signal=-1,7100
,7200: latest_price=2025.5 -- high_bound=2026.5 -- low_bound=2025.0 -- dc_signal=-1,7200
,7300: latest_price=2025.5 -- high_bound=2026.5 -- low_bound=2025.0 -- dc_signal=-1,7300
,7400: latest_price=2025.5 -- high_bound=2026.5 -- low_bound=2025.0 -- dc_signal=-1,7400
,7500: latest_price=2025.5 -- high_bound=2026.5 -- low_bound=2025.0 -- dc_signal=-1,7500
,7600: latest_price=2025.5 -- high_bound=2026.5 -- low_bound=2025.0 -- dc_signal=-1,7600
,7700: latest_price=2025.5 -- high_bound=2026.5 -- low_bound=2025.0 -- dc_signal=-1,7700
,7800: latest_price=2025.5 -- high_bound=2026.5 -- low_bound=2025.0 -- dc_signal=-1,7800
,7900: latest_price=2025.5 -- high_bound=2026.5 -- low_bound=2025.5 -- dc_signal=-1,7900
,8000: latest_price=2025.0 -- high_bound=2025.5 -- low_bound=2025.5 -- dc_signal=-1,8000
