sandboxLog,lambdaLog,timestamp
,"{""KELP"": {""timestamp"": 0.0, ""bid_prices"": [2028.0, 2026.0, 2025.0, NaN], ""bid_volumes"": [1.0, 2.0, 29.0, NaN], ""ask_prices"": [2029.0, NaN, NaN, NaN], ""ask_volumes"": [-31.0, NaN, NaN, NaN], ""best_bid"": 2028.0, ""best_bid_volume"": 1.0, ""best_ask"": 2029.0, ""best_ask_volume"": -31.0, ""total_ask_volume"": -31.0, ""total_bid_volume"": 32.0, ""total_volume"": 63.0, ""mid_price"": 2028.5, ""weighted_mid_price"": 2027.047619047619, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 2028.5}, ""RAINFOREST_RESIN"": {""timestamp"": 0.0, ""bid_prices"": [10002.0, 9996.0, 9995.0, NaN], ""bid_volumes"": [1.0, 2.0, 29.0, NaN], ""ask_prices"": [10004.0, 10005.0, NaN, NaN], ""ask_volumes"": [-2.0, -29.0, NaN, NaN], ""best_bid"": 10002.0, ""best_bid_volume"": 1.0, ""best_ask"": 10004.0, ""best_ask_volume"": -2.0, ""total_ask_volume"": -31.0, ""total_bid_volume"": 32.0, ""total_volume"": 63.0, ""mid_price"": 10003.0, ""weighted_mid_price"": 10000.031746031746, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 10003.0}}",0
,"{""KELP"": {""timestamp"": 100.0, ""bid_prices"": [2025.0, NaN, NaN, NaN], ""bid_volumes"": [24.0, NaN, NaN, NaN], ""ask_prices"": [2028.0, 2029.0, NaN, NaN], ""ask_volumes"": [-2.0, -22.0, NaN, NaN], ""best_bid"": 2025.0, ""best_bid_volume"": 24.0, ""best_ask"": 2028.0, ""best_ask_volume"": -2.0, ""total_ask_volume"": -24.0, ""total_bid_volume"": 24.0, ""total_volume"": 48.0, ""mid_price"": 2026.5, ""weighted_mid_price"": 2026.9583333333333, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 2027.5}, ""RAINFOREST_RESIN"": {""timestamp"": 100.0, ""bid_prices"": [9996.0, 9995.0, NaN, NaN], ""bid_volumes"": [2.0, 22.0, NaN, NaN], ""ask_prices"": [10004.0, 10005.0, NaN, NaN], ""ask_volumes"": [-2.0, -22.0, NaN, NaN], ""best_bid"": 9996.0, ""best_bid_volume"": 2.0, ""best_ask"": 10004.0, ""best_ask_volume"": -2.0, ""total_ask_volume"": -24.0, ""total_bid_volume"": 24.0, ""total_volume"": 48.0, ""mid_price"": 10000.0, ""weighted_mid_price"": 10000.0, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 10001.5}}",100
,"{""KELP"": {""timestamp"": 200.0, ""bid_prices"": [2025.0, NaN, NaN, NaN], ""bid_volumes"": [22.0, NaN, NaN, NaN], ""ask_prices"": [2028.0, NaN, NaN, NaN], ""ask_volumes"": [-20.0, NaN, NaN, NaN], ""best_bid"": 2025.0, ""best_bid_volume"": 22.0, ""best_ask"": 2028.0, ""best_ask_volume"": -20.0, ""total_ask_volume"": -20.0, ""total_bid_volume"": 22.0, ""total_volume"": 42.0, ""mid_price"": 2026.5, ""weighted_mid_price"": 2026.4285714285713, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 2027.1666666666667}, ""RAINFOREST_RESIN"": {""timestamp"": 200.0, ""bid_prices"": [9995.0, NaN, NaN, NaN], ""bid_volumes"": [20.0, NaN, NaN, NaN], ""ask_prices"": [10005.0, NaN, NaN, NaN], ""ask_volumes"": [-20.0, NaN, NaN, NaN], ""best_bid"": 9995.0, ""best_bid_volume"": 20.0, ""best_ask"": 10005.0, ""best_ask_volume"": -20.0, ""total_ask_volume"": -20.0, ""total_bid_volume"": 20.0, ""total_volume"": 40.0, ""mid_price"": 10000.0, ""weighted_mid_price"": 10000.0, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 10001.0}}",200
,"{""KELP"": {""timestamp"": 300.0, ""bid_prices"": [2025.0, NaN, NaN, NaN], ""bid_volumes"": [31.0, NaN, NaN, NaN], ""ask_prices"": [2028.0, 2029.0, NaN, NaN], ""ask_volumes"": [-2.0, -29.0, NaN, NaN], ""best_bid"": 2025.0, ""best_bid_volume"": 31.0, ""best_ask"": 2028.0, ""best_ask_volume"": -2.0, ""total_ask_volume"": -31.0, ""total_bid_volume"": 31.0, ""total_volume"": 62.0, ""mid_price"": 2026.5, ""weighted_mid_price"": 2026.967741935484, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 2027.0}, ""RAINFOREST_RESIN"": {""timestamp"": 300.0, ""bid_prices"": [9996.0, 9995.0, NaN, NaN], ""bid_volumes"": [2.0, 29.0, NaN, NaN], ""ask_prices"": [10004.0, 10005.0, NaN, NaN], ""ask_volumes"": [-2.0, -29.0, NaN, NaN], ""best_bid"": 9996.0, ""best_bid_volume"": 2.0, ""best_ask"": 10004.0, ""best_ask_volume"": -2.0, ""total_ask_volume"": -31.0, ""total_bid_volume"": 31.0, ""total_volume"": 62.0, ""mid_price"": 10000.0, ""weighted_mid_price"": 10000.0, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 10000.75}}",300
,"{""KELP"": {""timestamp"": 400.0, ""bid_prices"": [2025.0, NaN, NaN, NaN], ""bid_volumes"": [27.0, NaN, NaN, NaN], ""ask_prices"": [2028.0, NaN, NaN, NaN], ""ask_volumes"": [-27.0, NaN, NaN, NaN], ""best_bid"": 2025.0, ""best_bid_volume"": 27.0, ""best_ask"": 2028.0, ""best_ask_volume"": -27.0, ""total_ask_volume"": -27.0, ""total_bid_volume"": 27.0, ""total_volume"": 54.0, ""mid_price"": 2026.5, ""weighted_mid_price"": 2026.5, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 2026.9}, ""RAINFOREST_RESIN"": {""timestamp"": 400.0, ""bid_prices"": [9996.0, 9995.0, NaN, NaN], ""bid_volumes"": [2.0, 25.0, NaN, NaN], ""ask_prices"": [10004.0, 10005.0, NaN, NaN], ""ask_volumes"": [-2.0, -25.0, NaN, NaN], ""best_bid"": 9996.0, ""best_bid_volume"": 2.0, ""best_ask"": 10004.0, ""best_ask_volume"": -2.0, ""total_ask_volume"": -27.0, ""total_bid_volume"": 27.0, ""total_volume"": 54.0, ""mid_price"": 10000.0, ""weighted_mid_price"": 10000.0, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 10000.6}}",400
,"{""KELP"": {""timestamp"": 500.0, ""bid_prices"": [2025.0, NaN, NaN, NaN], ""bid_volumes"": [30.0, NaN, NaN, NaN], ""ask_prices"": [2028.0, NaN, NaN, NaN], ""ask_volumes"": [-30.0, NaN, NaN, NaN], ""best_bid"": 2025.0, ""best_bid_volume"": 30.0, ""best_ask"": 2028.0, ""best_ask_volume"": -30.0, ""total_ask_volume"": -30.0, ""total_bid_volume"": 30.0, ""total_volume"": 60.0, ""mid_price"": 2026.5, ""weighted_mid_price"": 2026.5, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 2026.5}, ""RAINFOREST_RESIN"": {""timestamp"": 500.0, ""bid_prices"": [9995.0, NaN, NaN, NaN], ""bid_volumes"": [30.0, NaN, NaN, NaN], ""ask_prices"": [10002.0, 10005.0, NaN, NaN], ""ask_volumes"": [-4.0, -30.0, NaN, NaN], ""best_bid"": 9995.0, ""best_bid_volume"": 30.0, ""best_ask"": 10002.0, ""best_ask_volume"": -4.0, ""total_ask_volume"": -34.0, ""total_bid_volume"": 30.0, ""total_volume"": 64.0, ""mid_price"": 9998.5, ""weighted_mid_price"": 10000.125, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 9999.7}}",500
,"{""KELP"": {""timestamp"": 600.0, ""bid_prices"": [2026.0, 2025.0, NaN, NaN], ""bid_volumes"": [5.0, 31.0, NaN, NaN], ""ask_prices"": [2028.0, NaN, NaN, NaN], ""ask_volumes"": [-25.0, NaN, NaN, NaN], ""best_bid"": 2026.0, ""best_bid_volume"": 5.0, ""best_ask"": 2028.0, ""best_ask_volume"": -25.0, ""total_ask_volume"": -25.0, ""total_bid_volume"": 36.0, ""total_volume"": 61.0, ""mid_price"": 2027.0, ""weighted_mid_price"": 2026.311475409836, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 2026.6}, ""RAINFOREST_RESIN"": {""timestamp"": 600.0, ""bid_prices"": [10000.0, 9995.0, NaN, NaN], ""bid_volumes"": [5.0, 25.0, NaN, NaN], ""ask_prices"": [10005.0, NaN, NaN, NaN], ""ask_volumes"": [-25.0, NaN, NaN, NaN], ""best_bid"": 10000.0, ""best_bid_volume"": 5.0, ""best_ask"": 10005.0, ""best_ask_volume"": -25.0, ""total_ask_volume"": -25.0, ""total_bid_volume"": 30.0, ""total_volume"": 55.0, ""mid_price"": 10002.5, ""weighted_mid_price"": 10000.0, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 10000.2}}",600
,"{""KELP"": {""timestamp"": 700.0, ""bid_prices"": [2025.0, 2024.0, NaN, NaN], ""bid_volumes"": [2.0, 23.0, NaN, NaN], ""ask_prices"": [2028.0, NaN, NaN, NaN], ""ask_volumes"": [-23.0, NaN, NaN, NaN], ""best_bid"": 2025.0, ""best_bid_volume"": 2.0, ""best_ask"": 2028.0, ""best_ask_volume"": -23.0, ""total_ask_volume"": -23.0, ""total_bid_volume"": 25.0, ""total_volume"": 48.0, ""mid_price"": 2026.5, ""weighted_mid_price"": 2025.9583333333333, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 2026.6}, ""RAINFOREST_RESIN"": {""timestamp"": 700.0, ""bid_prices"": [9995.0, NaN, NaN, NaN], ""bid_volumes"": [23.0, NaN, NaN, NaN], ""ask_prices"": [10005.0, NaN, NaN, NaN], ""ask_volumes"": [-23.0, NaN, NaN, NaN], ""best_bid"": 9995.0, ""best_bid_volume"": 23.0, ""best_ask"": 10005.0, ""best_ask_volume"": -23.0, ""total_ask_volume"": -23.0, ""total_bid_volume"": 23.0, ""total_volume"": 46.0, ""mid_price"": 10000.0, ""weighted_mid_price"": 10000.0, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 10000.2}}",700
,"{""KELP"": {""timestamp"": 800.0, ""bid_prices"": [2024.0, 2023.0, NaN, NaN], ""bid_volumes"": [1.0, 29.0, NaN, NaN], ""ask_prices"": [2027.0, NaN, NaN, NaN], ""ask_volumes"": [-30.0, NaN, NaN, NaN], ""best_bid"": 2024.0, ""best_bid_volume"": 1.0, ""best_ask"": 2027.0, ""best_ask_volume"": -30.0, ""total_ask_volume"": -30.0, ""total_bid_volume"": 30.0, ""total_volume"": 60.0, ""mid_price"": 2025.5, ""weighted_mid_price"": 2025.0166666666667, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 2026.4}, ""RAINFOREST_RESIN"": {""timestamp"": 800.0, ""bid_prices"": [9996.0, 9995.0, NaN, NaN], ""bid_volumes"": [1.0, 29.0, NaN, NaN], ""ask_prices"": [10004.0, 10005.0, NaN, NaN], ""ask_volumes"": [-1.0, -29.0, NaN, NaN], ""best_bid"": 9996.0, ""best_bid_volume"": 1.0, ""best_ask"": 10004.0, ""best_ask_volume"": -1.0, ""total_ask_volume"": -30.0, ""total_bid_volume"": 30.0, ""total_volume"": 60.0, ""mid_price"": 10000.0, ""weighted_mid_price"": 10000.0, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 10000.2}}",800
,"{""KELP"": {""timestamp"": 900.0, ""bid_prices"": [2024.0, NaN, NaN, NaN], ""bid_volumes"": [23.0, NaN, NaN, NaN], ""ask_prices"": [2027.0, NaN, NaN, NaN], ""ask_volumes"": [-23.0, NaN, NaN, NaN], ""best_bid"": 2024.0, ""best_bid_volume"": 23.0, ""best_ask"": 2027.0, ""best_ask_volume"": -23.0, ""total_ask_volume"": -23.0, ""total_bid_volume"": 23.0, ""total_volume"": 46.0, ""mid_price"": 2025.5, ""weighted_mid_price"": 2025.5, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 2026.2}, ""RAINFOREST_RESIN"": {""timestamp"": 900.0, ""bid_prices"": [9996.0, 9995.0, NaN, NaN], ""bid_volumes"": [1.0, 22.0, NaN, NaN], ""ask_prices"": [10004.0, 10005.0, NaN, NaN], ""ask_volumes"": [-1.0, -22.0, NaN, NaN], ""best_bid"": 9996.0, ""best_bid_volume"": 1.0, ""best_ask"": 10004.0, ""best_ask_volume"": -1.0, ""total_ask_volume"": -23.0, ""total_bid_volume"": 23.0, ""total_volume"": 46.0, ""mid_price"": 10000.0, ""weighted_mid_price"": 10000.0, ""max_sell_position"": -50.0, ""max_buy_position"": 50.0, ""current_position"": 0.0, ""observation_plain_value"": NaN, ""observation_bidPrice"": NaN, ""observation_askPrice"": NaN, ""observation_transportFees"": NaN, ""observation_exportTariff"": NaN, ""observation_importTariff"": NaN, ""observation_sugarPrice"": NaN, ""observation_sunlightIndex"": NaN, ""fair_price"": 10000.2}}",900
