product,timestamp,bid_prices,bid_volumes,ask_prices,ask_volumes,best_bid,best_bid_volume,best_ask,best_ask_volume,total_ask_volume,total_bid_volume,total_volume,mid_price,weighted_mid_price,max_sell_position,max_buy_position,current_position,observation_plain_value,observation_bidPrice,observation_askPrice,observation_transportFees,observation_exportTariff,observation_importTariff,observation_sugarPrice,observation_sunlightIndex,fair_price
KELP,0.0,"[2028.0, 2026.0, 2025.0, nan]","[1.0, 2.0, 29.0, nan]","[2029.0, nan, nan, nan]","[-31.0, nan, nan, nan]",2028.0,1.0,2029.0,-31.0,-31.0,32.0,63.0,2028.5,2027.047619047619,-50.0,50.0,0.0,,,,,,,,,2028.5
RAINFOREST_RESIN,0.0,"[10002.0, 9996.0, 9995.0, nan]","[1.0, 2.0, 29.0, nan]","[10004.0, 10005.0, nan, nan]","[-2.0, -29.0, nan, nan]",10002.0,1.0,10004.0,-2.0,-31.0,32.0,63.0,10003.0,10000.031746031746,-50.0,50.0,0.0,,,,,,,,,10003.0
KELP,100.0,"[2025.0, nan, nan, nan]","[24.0, nan, nan, nan]","[2028.0, 2029.0, nan, nan]","[-2.0, -22.0, nan, nan]",2025.0,24.0,2028.0,-2.0,-24.0,24.0,48.0,2026.5,2026.9583333333333,-50.0,50.0,0.0,,,,,,,,,2027.5
RAINFOREST_RESIN,100.0,"[9996.0, 9995.0, nan, nan]","[2.0, 22.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-2.0, -22.0, nan, nan]",9996.0,2.0,10004.0,-2.0,-24.0,24.0,48.0,10000.0,10000.0,-50.0,50.0,0.0,,,,,,,,,10001.5
KELP,200.0,"[2025.0, nan, nan, nan]","[22.0, nan, nan, nan]","[2028.0, nan, nan, nan]","[-20.0, nan, nan, nan]",2025.0,22.0,2028.0,-20.0,-20.0,22.0,42.0,2026.5,2026.4285714285713,-50.0,50.0,0.0,,,,,,,,,2027.1666666666667
RAINFOREST_RESIN,200.0,"[9995.0, nan, nan, nan]","[20.0, nan, nan, nan]","[10005.0, nan, nan, nan]","[-20.0, nan, nan, nan]",9995.0,20.0,10005.0,-20.0,-20.0,20.0,40.0,10000.0,10000.0,-50.0,50.0,0.0,,,,,,,,,10001.0
KELP,300.0,"[2025.0, nan, nan, nan]","[31.0, nan, nan, nan]","[2028.0, 2029.0, nan, nan]","[-2.0, -29.0, nan, nan]",2025.0,31.0,2028.0,-2.0,-31.0,31.0,62.0,2026.5,2026.967741935484,-50.0,50.0,0.0,,,,,,,,,2027.0
RAINFOREST_RESIN,300.0,"[9996.0, 9995.0, nan, nan]","[2.0, 29.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-2.0, -29.0, nan, nan]",9996.0,2.0,10004.0,-2.0,-31.0,31.0,62.0,10000.0,10000.0,-50.0,50.0,0.0,,,,,,,,,10000.75
KELP,400.0,"[2025.0, nan, nan, nan]","[27.0, nan, nan, nan]","[2028.0, nan, nan, nan]","[-27.0, nan, nan, nan]",2025.0,27.0,2028.0,-27.0,-27.0,27.0,54.0,2026.5,2026.5,-50.0,50.0,0.0,,,,,,,,,2026.9
RAINFOREST_RESIN,400.0,"[9996.0, 9995.0, nan, nan]","[2.0, 25.0, nan, nan]","[10004.0, 10005.0, nan, nan]","[-2.0, -25.0, nan, nan]",9996.0,2.0,10004.0,-2.0,-27.0,27.0,54.0,10000.0,10000.0,-50.0,50.0,0.0,,,,,,,,,10000.6
KELP,500.0,"[2025.0, nan, nan, nan]","[30.0, nan, nan, nan]","[2028.0, nan, nan, nan]","[-30.0, nan, nan, nan]",2025.0,30.0,2028.0,-30.0,-30.0,30.0,60.0,2026.5,2026.5,-50.0,50.0,0.0,,,,,,,,,2026.5
RAINFOREST_RESIN,500.0,"[9995.0, nan, nan, nan]","[30.0, nan, nan, nan]","[10002.0, 10005.0, nan, nan]","[-4.0, -30.0, nan, nan]",9995.0,30.0,10002.0,-4.0,-34.0,30.0,64.0,9998.5,10000.125,-50.0,50.0,0.0,,,,,,,,,9999.7
KELP,600.0,"[2026.0, 2025.0, nan, nan]","[5.0, 31.0, nan, nan]","[2028.0, nan, nan, nan]","[-25.0, nan, nan, nan]",2026.0,5.0,2028.0,-25.0,-25.0,36.0,61.0,2027.0,2026.311475409836,-50.0,50.0,0.0,,,,,,,,,2026.6
RAINFOREST_RESIN,600.0,"[10000.0, 9995.0, nan, nan]","[5.0, 25.0, nan, nan]","[10005.0, nan, nan, nan]","[-25.0, nan, nan, nan]",10000.0,5.0,10005.0,-25.0,-25.0,30.0,55.0,10002.5,10000.0,-50.0,50.0,0.0,,,,,,,,,10000.2
KELP,700.0,"[2025.0, 2024.0, nan, nan]","[2.0, 23.0, nan, nan]","[2028.0, nan, nan, nan]","[-23.0, nan, nan, nan]",2025.0,2.0,2028.0,-23.0,-23.0,25.0,48.0,2026.5,2025.9583333333333,-50.0,50.0,0.0,,,,,,,,,2026.6
